dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
exchange_rate,1,6839,7479,0.973859046516094,-0.1563026430778434,0.53807783,0.14507914,1.7648313,1.0816743
exchange_rate,6,6839,7031,0.9717449221059218,0.2816110905968605,1.9421408,3.120177,1.5435147,2.721551
exchange_rate,5,6135,6455,0.9697409467944564,-0.2535554951179389,0.8785229,1.8986964,0.73231936,1.7524929
exchange_rate,6,6775,7479,0.968230511697888,0.1309899525180775,3.2977352,4.9870524,3.140987,4.830304
exchange_rate,5,6711,6775,0.9679169142992312,0.0346759708527972,1.8713174,1.1253719,2.1565676,1.4106221
exchange_rate,2,6391,7479,0.9646547091935728,0.0694893779979117,1.7666025,2.317265,1.7374578,2.2881203
exchange_rate,6,6135,6455,0.9642639968687726,0.0335511969462637,2.157474,2.136526,2.5625021,2.5415542
exchange_rate,0,6711,6839,0.9637878544675654,0.2138286148625744,4.9874344,3.8113892,4.9984846,3.822439
exchange_rate,2,6839,7159,0.9613654466766371,0.1250468682728861,1.3562968,1.2450745,1.8311834,1.7199612
exchange_rate,4,6327,6711,0.959137409592412,0.1228866099955801,5.235993,4.881028,5.183217,4.8282523
exchange_rate,OT,6711,6967,0.9555353128365932,0.2952083366147289,3.9782648,3.7203412,4.1116123,3.8536887
exchange_rate,4,7159,7351,0.9535676903563828,0.0092053637519282,1.4517798,2.869578,1.6226921,3.0404902
exchange_rate,4,6519,7479,0.95100741975158,-0.2754725864565962,5.872363,4.7452435,5.822399,4.6952796
exchange_rate,6,6199,7351,0.9509828946948548,0.0859299659129257,0.901536,1.5452185,0.9304614,1.5741439
exchange_rate,1,6583,6647,0.9504238919569256,0.1662543807983698,0.5241804,0.040385246,0.2804246,0.28414106
exchange_rate,0,6455,7031,0.9494123997334512,0.1089354354376746,0.5816884,0.95346117,0.6638446,1.0356174
exchange_rate,1,6711,6775,0.9358074701966952,0.2929274999239574,3.9062262,3.8802052,3.8423815,3.8163605
exchange_rate,1,6135,7159,0.9270645364910504,0.1853560244327608,3.858218,3.4670846,3.6714115,3.2802782
exchange_rate,OT,6519,7095,0.9269456081448936,0.1724656860491853,4.6172886,3.4467497,4.640876,3.4703372
exchange_rate,5,6199,6967,0.9228796776180956,-0.0234167554893831,0.7185025,0.31274748,1.2496758,0.21842575
exchange_rate,3,6263,7351,0.9181808032074512,0.0980335467138605,1.6855617,2.3249145,1.2266273,1.8659801
exchange_rate,1,6199,6327,0.9085439689526956,0.1156090131525195,0.34207535,0.09476185,0.24621058,0.49352407
exchange_rate,3,6199,6839,0.9085220346736412,0.1272687865318969,1.5368795,1.3263121,2.1118705,1.901303
exchange_rate,OT,6199,7351,0.9030742116716732,-0.000298802521763,1.2080016,1.714551,1.5362182,2.0427675
exchange_rate,3,6711,6775,0.8992488454084759,0.1662747088864165,3.8352747,2.5444393,4.1259985,2.835163
exchange_rate,4,6775,7031,0.896730719345707,0.0751212871096756,3.4043345,5.2653694,3.3784132,5.239448
exchange_rate,5,6071,7479,0.89469175219343,-0.0194695424988701,1.9817736,2.7102153,1.890995,2.6194367
exchange_rate,2,6135,6775,0.8941122344670628,0.0768785566458817,4.49913,3.4456644,4.52916,3.4756947
exchange_rate,2,6583,7287,0.8793730144585672,0.0109886296605378,2.2706285,2.189942,2.356537,2.2758505
exchange_rate,OT,6263,7031,0.8762063506455214,0.1248888001054268,5.398739,4.494563,5.394926,4.4907503
exchange_rate,0,6135,6775,0.8751667218831907,0.0371327623437772,3.328046,2.932173,3.5028303,3.1069572
exchange_rate,OT,7159,7223,0.8699110360136691,-0.0571315134117285,0.061009407,0.37535238,0.33495426,0.64929724
exchange_rate,4,6071,7287,0.8630337494419986,0.2730854595343866,6.376667,4.7523,6.3282757,4.7039084
exchange_rate,4,6199,6903,0.8587627622257568,-0.0778039760193814,5.145643,4.7575574,5.1219788,4.733893
exchange_rate,6,6647,7287,0.8562671225412988,-0.00949512783764,0.46540213,1.6946659,0.5226083,1.7518721
exchange_rate,5,7287,7351,0.8526103574991687,-0.1153348954243999,0.7486172,0.37106323,0.28496742,0.09258652
exchange_rate,0,7223,7351,0.8524034532847556,0.0130941433402482,1.541029,1.5857291,1.8039718,1.8486719
exchange_rate,OT,7287,7415,0.836352738678291,0.1198826355358442,4.6724663,3.8969548,4.6132245,3.8377128
exchange_rate,2,6263,6455,0.8289203981045494,-0.1677448434926357,3.5537086,2.884387,3.7587557,3.0894341
exchange_rate,3,6327,6455,0.8233637335768226,-0.0516074152779821,2.8054204,2.9816298,2.4850864,2.661296
exchange_rate,5,6263,7415,0.8190227292706624,0.1238555413718774,4.269817,4.467602,4.2638125,4.4615974
exchange_rate,3,7159,7223,0.8006913213001692,-0.1271271254220133,1.1210415,1.5043094,0.9636359,1.3469038
