dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
solar,124,48960,51264,0.9996341671606832,0.2464132393690358,1.3512788,1.5125475,1.2856019,1.4468706
solar,47,48896,50048,0.9996073785660564,0.0549634318725326,0.49478817,0.8452692,0.12403536,0.22644567
solar,106,43712,51776,0.9996008316724524,0.2040866848238627,1.0117183,2.2000747,0.5291362,1.7174926
solar,20,44864,48320,0.9995392928348974,0.2747932032323137,0.67038155,0.8566189,0.22162676,0.035389423
solar,85,47168,48320,0.9995303524672348,0.2417293648745052,0.07515669,0.3853135,0.026475906,0.4339943
solar,86,48384,49536,0.9995285594499628,0.2761742474825132,0.10938978,0.3157134,0.08300018,0.12332344
solar,107,42688,44416,0.9995215238449394,0.2774387619165535,0.41098976,0.6051483,0.10073137,0.29488993
solar,2,46080,46656,0.9995135383264888,0.2101509781052259,1.4454942,1.4094524,1.3159056,1.2798638
solar,35,43712,44288,0.9995062903397756,0.2653133348732903,0.26169777,0.08340454,0.40347242,0.2251792
solar,76,44288,50048,0.9994650926197164,-0.1229573093121474,0.03068924,0.2316742,0.10876989,0.09221506
solar,70,45440,47744,0.9994556266113088,0.1852677076006357,1.2979577,1.7479899,0.7787459,1.2287781
solar,124,42688,48448,0.9993632456152054,0.275576806186772,0.035773277,0.102874756,0.3690095,0.23036146
solar,80,46720,51904,0.9993528528696068,0.2937527910888301,1.9092767,1.3263524,1.8702772,1.2873528
solar,28,45504,48384,0.9993444834722548,0.2860595123728064,0.016197681,0.1255889,0.019341946,0.12244463
solar,34,44928,46080,0.9993415372899896,0.2840940305624757,0.87953997,0.81460905,0.85646534,0.7915344
solar,95,44928,51840,0.99932929774961,0.2227845124201932,1.0682573,1.2235894,1.1071005,1.2624326
solar,103,43200,49536,0.9993272286161242,0.2854224637375124,0.406528,0.22329426,0.5035536,0.3203199
solar,69,43712,48320,0.9993062193741774,0.2509412960696138,0.059007168,0.39338255,0.21063757,0.54501295
solar,71,47232,49536,0.9993051190926786,0.2504305323727651,0.08830738,0.10920668,0.08171034,0.11580372
solar,11,46144,51904,0.9993050006545716,0.2499904772845992,0.041813612,0.23868823,0.18015242,0.016722202
solar,31,43200,45504,0.9993010998360264,-0.0393974695290245,1.5749722,1.0835357,1.6386957,1.1472592
solar,128,43200,50112,0.9992612129296226,0.1315810796877095,0.49662066,0.13892603,0.4035616,0.045866966
solar,35,48960,50688,0.9992575136910092,0.2668140758836945,0.07999277,0.13721895,0.15470171,0.06251001
solar,90,44416,51328,0.999247935734077,0.2664470846589067,2.2997587,1.4669921,2.173399,1.3406324
solar,125,42688,43264,0.9992390045758572,0.1675122426429176,0.5774071,0.3317573,0.4541726,0.2085228
solar,42,45376,49408,0.9992327440347284,0.0318513752281777,0.03423071,0.00813818,0.09296942,0.11906195
solar,112,44352,49536,0.9992193396893396,-0.0343154697017954,0.16151333,0.28226662,0.027887344,0.14864063
solar,32,44288,48320,0.99921830717268,0.2510866596147719,0.10590267,0.56654835,0.46280193,0.0021562576
solar,135,42560,48320,0.9992060243809314,0.2538577433249641,0.052311897,0.35535765,0.10551119,0.19753456
solar,58,46080,50688,0.9992052470221372,0.2622178035425708,1.3507066,1.1385765,1.3084488,1.0963187
solar,OT,47104,48256,0.9991994529724016,0.1163697344676309,0.92121387,1.1752064,0.67865515,0.9326477
solar,38,50176,51328,0.9991869779850012,0.2309067202291578,1.5136607,0.98253226,1.4946604,0.963532
solar,52,43712,47744,0.9991775719979148,0.2323889531974,0.74658203,0.9279065,0.394207,0.5755315
solar,104,50176,51328,0.9991742539952222,0.2684594234554721,1.3542349,0.8485563,1.4591343,0.9534557
solar,72,46016,48320,0.9991596146287984,0.277617669222846,0.8943844,0.21297407,1.3334455,0.65203524
solar,52,44992,46720,0.9991564437835152,0.2618831439247327,0.6387811,0.84216404,0.6025348,0.80591774
solar,1,42688,47296,0.9991544892785964,0.2395900985533564,0.4188168,0.59063935,0.08231068,0.25413322
solar,105,43328,43904,0.9991444854742524,0.1873576239546424,1.1088676,0.4649911,1.5193181,0.054540634
solar,72,47744,50624,0.9991423952307168,0.2789473046019699,1.068471,0.51854086,1.6443133,1.0943832
solar,114,42048,50688,0.999129415784146,0.2939102942110634,0.29415226,0.27149057,0.060804367,0.03814268
solar,124,43264,43840,0.9991194029284776,0.0391088087800993,0.46344018,0.7958267,0.54940176,0.88178825
solar,131,42624,46080,0.9991036412877112,0.2133299507207756,0.7096474,1.0852172,0.67120147,1.0467713
solar,85,44352,47232,0.9991034286416236,0.2160460832841346,0.05247593,0.16614103,0.12372494,0.0100598335
solar,27,45504,49536,0.9990980290527448,0.1258640645788942,0.08686113,0.15125227,0.04133749,0.023053646
solar,96,50112,51264,0.9990907111778468,0.2751232463928548,1.1957257,1.262677,1.001565,1.0685163
solar,24,45504,46656,0.999084344982108,0.2894260943869987,0.75528,0.068725586,0.9973054,0.31075096
solar,119,49536,50112,0.999082725641481,0.1463147417120176,0.15114498,0.22462177,0.44744158,0.52091837
solar,51,47232,48384,0.9990760224179642,0.1247147172739734,0.078603745,0.13110447,0.071695805,0.13801241
solar,23,47168,47744,0.9990698803159072,0.0003850134088104,1.6074657,1.3589368,1.5545948,1.3060658
solar,107,43200,51264,0.9990675019258384,0.2492229454923087,0.15633202,0.6458483,0.17246628,0.31704998
solar,41,44352,46080,0.9990645313483392,0.224880476705247,0.3305719,1.2174237,0.26493907,1.1517909
solar,44,43904,44480,0.999046326680294,0.2415025102525192,0.056316614,0.07500386,0.02924633,0.010559082
solar,28,47296,49600,0.999039421925172,0.253701012536242,0.20823765,0.27903748,0.42076445,0.49156427
solar,6,50112,50688,0.999035226153357,0.152603190690519,0.3650651,0.13842535,0.21888638,0.007753372
solar,98,42624,46656,0.9990312493798008,0.2648136351066479,0.23567963,0.56598806,0.18137884,0.1489296
solar,31,46080,47808,0.9990292692055468,0.1818805170652977,1.5762887,1.0606546,1.6534715,1.1378374
solar,56,50176,51904,0.9990133211725748,0.2330351164535448,2.16754,1.3956513,2.0479805,1.2760918
solar,74,47168,48320,0.999005621534976,0.2769042107193677,0.06756115,0.46762037,0.33522797,0.06483126
solar,14,48960,49536,0.998993358243359,0.2454694113371771,0.25366688,0.28048277,0.18384743,0.35030222
solar,106,48384,50112,0.9989809789619924,-0.0494427501173491,0.12116814,0.07574749,0.06902027,0.023599625
solar,63,48960,49536,0.998976794254722,0.2686648804614996,0.1072793,0.22911453,0.13823795,0.19815588
solar,61,44352,51264,0.9989739688755668,0.21814811169494,1.4511986,1.4276619,1.4141974,1.3906608
solar,118,44864,48320,0.9989714432366856,0.2921306859829479,1.063005,1.069932,0.57827806,0.5852051
solar,80,43264,50176,0.99896189552225,0.231775100885857,0.22129297,0.7022331,0.051587343,0.53252745
solar,92,44416,49024,0.9989579603650864,0.2152320084654655,0.31300497,0.21557379,0.6291323,0.5317011
solar,60,42560,43712,0.9989369911555548,0.1466149896996413,1.1065464,1.698431,0.35335255,0.94523716
solar,83,43200,50688,0.9989320538274072,0.1760674304535011,0.7270622,0.09650612,0.62601995,0.004536152
solar,38,46144,48448,0.9989226542913988,0.2619677159796653,0.8987386,1.2039559,0.9445691,1.2497864
solar,59,43712,44288,0.9989213945275532,0.185350444446704,0.29086494,0.3158083,1.4417117,0.8350384
solar,80,42752,43328,0.9989102387610942,0.2853137455824861,0.22604895,1.7237749,0.23590851,1.2618175
solar,69,50112,51840,0.998894314142539,0.2304830317668215,1.5489612,1.0034623,1.610445,1.0649462
solar,104,46080,50112,0.9988917103360504,0.2710045346977091,1.4946518,1.3299403,1.443275,1.2785635
solar,124,46720,51328,0.9988915558739032,0.2306264263789566,1.3383167,1.1064408,1.4542236,1.2223477
solar,122,43712,47168,0.9988812491226924,0.2997161816370463,0.16497087,0.16561413,0.35191727,0.021332264
solar,99,42496,44800,0.9988728445243468,0.2773134966173145,0.07650995,0.05665922,0.20671368,0.33988285
solar,130,44864,50048,0.9988715696679192,0.1830216752444902,0.90422535,1.6436524,0.2606907,1.0001178
solar,20,43264,45568,0.9988640830688011,0.0473642971778907,0.073218346,0.6548023,0.4569769,1.0385609
solar,53,47168,48320,0.9988611889714112,0.2239594795762644,0.008925438,0.641798,0.023648739,0.6565213
solar,115,44352,46656,0.9988461589995656,0.2970088567302448,0.47584414,0.7639744,0.09753466,0.38566494
solar,94,46656,51840,0.9988458978223568,0.2125606840441729,0.8926449,0.956604,0.90186334,0.96582246
solar,75,44288,48320,0.9988157533850832,0.2566147988719186,0.48302674,1.0632432,0.6476555,0.06743908
solar,10,44352,45504,0.9988110902648292,0.1795939914278074,0.06350136,0.45091915,0.15261078,0.36180973
solar,5,49024,51328,0.9988091038097556,0.275550081660047,1.4702744,1.0210266,1.4166365,0.96738863
solar,125,44864,46016,0.998800150627943,0.2762139928654978,1.0542982,2.1855657,0.35799217,1.4892597
solar,86,44352,46656,0.998800077489382,0.2961682439184496,0.026339054,0.03172636,0.014228344,0.008841038
solar,110,43200,51840,0.9987980136841508,0.1707771233917106,0.16031742,0.58179283,0.04513979,0.4666152
solar,127,44416,47296,0.998794549720022,0.188611395049815,0.07385111,0.3640728,0.071733,0.2184887
solar,67,42112,44416,0.998793445549236,0.2758429928167724,1.0199773,1.3311985,0.7639277,1.0751488
solar,64,45376,50560,0.9987865120144794,0.1737473920039208,0.28780985,0.5732491,0.61112833,0.8965676
solar,114,42560,50048,0.9987860011878824,0.2692829615713348,0.78925776,2.127354,0.1898222,1.148274
solar,46,48960,49536,0.998781355505829,0.2577075543461927,0.13447094,0.060154438,0.060136795,0.25476217
solar,64,44992,47296,0.9987695251953712,0.2859251370224142,0.8806598,1.1808374,0.8123195,1.1124971
solar,104,44224,47104,0.998765407708095,0.2080203552380653,0.28546,0.21019697,0.48911667,0.41385365
solar,14,43264,46720,0.998737094160805,0.1126659783805453,0.9809642,1.820544,1.1185267,1.9581065
solar,34,48960,51840,0.9987285165250004,0.0817729689242217,0.3617239,1.0300922,0.40301847,1.0713868
solar,115,48384,50112,0.9987281684792628,0.2453226571950619,0.0003490448,0.36258268,0.13684845,0.22538519
solar,0,47936,49088,0.9987205964912432,0.2936992698147437,0.039199352,0.09337044,0.084686756,0.047883034
solar,74,45568,46720,0.9987164647435308,0.145891248639337,0.04166031,0.01689291,0.053831577,0.0047216415
solar,31,43840,51904,0.9987120062983142,0.1440763169695731,1.8257349,1.0039272,1.7938538,0.97204614
solar,20,42688,51328,0.998688701484893,0.297211261061606,1.6873477,1.3568232,1.6340902,1.3035657
solar,114,43712,48896,0.9986766058574312,0.0720614831965775,0.47598267,0.613708,0.24706173,0.109336376
solar,22,50112,51840,0.9986667245792036,0.1863133414291336,1.266561,1.5276327,1.0357535,1.2968252
solar,131,42688,49600,0.9986654245586716,0.2939876612481978,0.14769506,0.111341,0.016243935,0.24279213
solar,59,45568,48448,0.9986525462584168,0.2063144869761198,0.28751993,0.4366455,0.30728102,0.4564066
solar,104,43776,45504,0.998648005593866,0.2844839162022596,0.14300442,0.2981534,0.13703632,0.01811266
solar,122,42688,44416,0.9986472028035656,0.2699470593910902,0.076275826,0.33849573,0.3240466,0.5862665
solar,42,42688,44416,0.9986347810315248,0.1239236407559902,0.14751339,0.47796297,0.02355957,0.6019168
solar,5,47168,48896,0.9986194230456932,0.0148406988004765,0.2293868,0.33396244,0.011882305,0.11645794
solar,105,44352,49536,0.9986189530666592,0.287718502213165,0.43924904,0.5560479,0.3021164,0.41891527
solar,113,42496,44224,0.9986182661850956,0.2716898459950422,0.6345606,0.14274645,0.4494176,0.042396545
solar,111,44288,47744,0.99861314237169,0.1911974818585093,1.0765467,1.1720729,0.4204545,0.5159807
solar,1,44416,45568,0.9986101375294726,0.2973706425089474,0.31300497,0.13588667,0.41219425,0.23507595
solar,33,48320,51776,0.9986033897922628,0.1749823612726974,2.8564985,4.5018997,2.7150478,4.360449
solar,104,43264,46720,0.998601986184583,0.2178716093095529,0.3792894,0.77119803,0.38791156,0.7798202
solar,44,42752,46784,0.9985949616808496,0.2723786058475269,0.062912464,0.90419054,0.48544025,0.35583782
solar,78,46080,46656,0.9985913110109964,0.2295716996728522,1.4924791,1.0652826,1.5464993,1.1193027
solar,83,45376,50560,0.9985795548932846,0.2800191653669523,1.7917788,0.724777,1.691874,0.6248722
solar,84,43200,47232,0.998570321697686,0.102887618960523,0.659966,0.25128412,0.8950825,0.01616764
