dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
Wind,pred_temp,43547,47579,0.9959699061149372,0.0045023144632812,0.366889,0.4485693,0.09921408,0.18089437
Wind,pred_pressure,44763,47067,0.9955717080074624,0.2546013250618999,0.6346569,1.2956896,0.59882927,1.3315172
Wind,pred_temp,40603,43867,0.9952803593762208,0.2385661096775837,0.49697924,0.53241014,0.20319891,0.8261905
Wind,pred_humidity,42011,46235,0.9940948174536656,0.2450103868893345,0.24156761,0.3195877,0.4616437,0.5396638
Wind,pred_temp,43099,45403,0.9939561611367064,0.293351798159829,0.085808754,0.030024052,0.1115427,0.004290104
Wind,pred_w_speed,43675,47515,0.9939100225562256,0.2685975426278047,0.48476076,0.90587854,0.3606081,0.7817259
Wind,pred_temp,45275,48347,0.9937258802911256,0.2287018547234738,0.13864088,0.06787825,0.23583412,0.029314995
Wind,pred_pressure,44891,45275,0.9935651949852028,0.2277249857193617,0.18676329,1.9925632,0.30714655,2.486473
Wind,pred_temp,41819,47195,0.9933949523148228,0.1558135620192495,1.1898975,0.18860435,1.2958503,0.082651615
Wind,pred_humidity,39643,41179,0.9931914478012526,0.2607003690353096,0.7024293,0.7109461,0.86414003,0.8726568
Wind,pred_temp,44059,46939,0.9929053286967444,0.1302572608817584,0.29575014,1.2073483,0.145257,1.3578415
Wind,pred_temp,42779,48155,0.992725389581968,0.2729064440915247,0.003071785,0.20605278,0.008329868,0.21131086
Wind,pred_w_dir,39387,45403,0.9915259595633524,0.2688062627075139,0.4499569,1.1918149,0.5000119,1.2418699
Wind,pred_temp,39707,47963,0.9912496705573334,0.2420136685640173,0.75987387,0.084145546,0.9065871,0.2308588
Wind,pred_humidity,40667,48347,0.9906056505323124,0.070352366183335,0.29534674,0.6838894,0.15807247,1.1373086
Wind,pred_pressure,41307,41499,0.9905093761770108,0.0605649485195164,0.5113425,3.136756,0.48378944,3.1092029
Wind,pred_w_speed,40923,47451,0.9903777694368296,0.23187804446286,0.74597406,0.20855331,0.34565783,0.19176292
Wind,pred_temp,42203,44123,0.9902336106114766,0.1723607331840861,0.52949476,0.63568115,0.28828526,0.39447165
Wind,pred_temp,39899,46619,0.9899964167056828,0.152726477206883,0.18570232,1.8125434,0.018588066,1.6454291
Wind,pred_humidity,42587,47579,0.989900094647088,0.2879474922206119,1.4741936,0.22003841,1.4527903,0.1986351
Wind,pred_temp,45083,46427,0.9897838489003598,-0.0952830100177591,0.30683374,0.023587704,0.18295002,0.10029602
Wind,pred_w_dir,40091,45787,0.9897028676556996,0.236325330589871,0.15511656,0.8227668,0.10070372,0.76835394
Wind,pred_w_dir,43739,48155,0.989035314712682,0.229918706334076,2.3981833,0.8153491,2.4139442,0.83111
Wind,pred_pressure,40347,48603,0.9885185815363506,0.2069517177071136,1.8668838,0.28561544,1.9166603,0.23583889
Wind,pred_w_dir,42139,45659,0.9880950993549038,0.0285685871823529,0.0905962,0.8229203,0.0049500465,0.7273741
Wind,pred_w_dir,40475,44571,0.98805277061054,0.0823205027447459,0.3610897,0.13217688,0.26110077,0.03218794
Wind,pred_temp,42587,43355,0.9878701516138894,0.0525201870542771,0.18399763,0.001853466,0.19393206,0.011787891
Wind,pred_pressure,44379,45339,0.9878195241350116,0.0709211270307688,0.35972643,0.8513789,0.5315938,0.67951155
Wind,pred_temp,41563,41947,0.9877526306668598,0.1481294239930812,0.1064949,0.32737398,0.13379669,0.35467577
Wind,pred_pressure,44187,47835,0.9876846929626304,-0.0962622926106096,0.2781644,0.21309042,0.26084757,0.23040724
Wind,pred_temp,40859,47003,0.9876526590839724,0.2091976882403149,0.74376917,0.011398792,0.78942394,0.03425598
Wind,pred_w_dir,43035,47323,0.9871201016775114,-0.1500099057225525,0.0683198,4.401607,0.03614998,4.2971373
Wind,pred_temp,44827,47515,0.9871149762911288,-0.0993427177856484,1.3577275,0.18597889,1.405642,0.2338934
Wind,pred_pressure,41371,43291,0.9866647864550396,0.2287853457817728,1.1891665,0.7557664,1.1311202,0.69772005
Wind,pred_humidity,40219,44059,0.9862814148861736,-0.150017360570057,0.43483353,0.119559765,0.13031006,0.1849637
Wind,pred_pressure,39963,48219,0.9861498018958624,0.1437387845553694,1.403491,0.40186214,1.1456552,0.659698
Wind,pred_temp,41627,42011,0.9861142856071266,-0.0736865824046853,0.027266026,0.55540705,0.05582428,0.47231674
Wind,pred_humidity,40603,40987,0.9857996729132796,0.0686891406367442,0.098098755,0.26022625,0.1390028,0.4973278
Wind,pred_w_dir,42395,42843,0.985448263466826,0.1752633032995002,1.0935493,0.4491539,1.3332024,0.688807
Wind,pred_w_dir,46619,46811,0.9852301265101686,-0.2139979753881881,0.21273756,0.9328642,0.2159133,0.50421333
Wind,pred_humidity,42715,43099,0.9850027944783456,0.0480051649453189,0.32691765,0.52715826,0.34780312,0.5480437
Wind,pred_w_speed,40283,47131,0.9846197171734208,0.0218117086309272,0.98279,0.34711123,1.4409952,0.111094
Wind,pred_pressure,43931,44507,0.9844858013546228,0.2154335498121228,1.368278,0.5622945,1.1874671,0.38148355
Wind,pred_temp,42971,46043,0.984208680256352,0.2954500059995394,0.20796967,0.49794292,0.18819714,0.4781704
Wind,pred_temp,45659,47387,0.9841432421513178,0.1304473503505108,0.032211304,0.39162445,0.027399063,0.3868122
Wind,pred_temp,40411,43675,0.9838882691243814,0.2763953769196636,0.67686605,0.07318449,0.67630386,0.0726223
Wind,pred_temp,40283,41051,0.9838685532992958,0.2813792678825668,1.0949426,0.193439,1.4309392,0.52943563
Wind,pred_w_dir,44763,47067,0.9835206238420678,-0.0944209561108623,0.20841551,1.0061111,0.08846998,1.1260567
Wind,pred_w_speed,42907,43483,0.9834698456430324,0.1388816623981261,0.43048,0.121816635,0.21718311,0.33511353
Wind,pred_humidity,39771,47963,0.9834457394066168,0.0515655341428043,0.9754653,0.9073925,0.7173314,0.6492586
Wind,pred_humidity,40475,45403,0.9829928178363976,0.2726099274852764,0.16958952,0.52462864,0.18029165,0.5353308
Wind,pred_w_speed,45403,48283,0.9824480888289912,0.1096095364919474,1.0532675,0.06385136,1.1651182,0.1757021
Wind,pred_humidity,47195,48539,0.9821291032963396,-0.0460300557362969,0.5057864,0.732697,0.6006899,0.8276005
Wind,pred_temp,43739,44315,0.981899326561384,0.0324806148671649,0.07749891,0.4615097,0.044107914,0.4949007
Wind,pred_pressure,40155,45915,0.981742514869764,0.1292925186407469,0.79721594,0.679286,1.1468253,0.32967663
Wind,pred_humidity,40859,47771,0.981496147666446,0.0611109301864915,0.25834894,1.8805943,0.27153063,1.8937759
Wind,pred_pressure,44955,47643,0.9814772189391352,0.2224337596401074,0.020853996,0.759675,0.10360432,0.6769247
Wind,pred_w_speed,44827,47963,0.9814219320332648,0.2223553818540887,1.5062413,0.19610167,1.6269488,0.07539415
Wind,pred_pressure,39835,40987,0.9813976495159282,0.2708204747870097,1.3053522,0.86361885,1.5756865,0.5932846
Wind,pred_pressure,40219,43483,0.980673262162019,0.1666898196384622,0.9536071,1.5229397,0.7479124,1.317245
Wind,pred_pressure,39899,47515,0.9805582916636676,0.1157837333835402,0.8801236,1.2829723,0.87591505,1.2787638
Wind,pred_humidity,41051,41307,0.9804511066242156,0.0696857437956039,0.8837271,0.37227392,0.7115264,0.20007324
Wind,pred_pressure,46043,47387,0.9803380236037482,0.0856580332394258,0.59315634,1.4674907,0.36515665,1.239491
Wind,pred_temp,41755,48283,0.980316590964136,0.1843776807187179,0.22143126,0.45766592,0.18893051,0.42516518
Wind,pred_w_dir,45531,46875,0.9802521498064262,0.2969451082932611,0.7171912,0.8764677,0.20999384,0.36927032
Wind,pred_pressure,47451,48411,0.9800568230508436,0.2795889870125429,0.5858631,0.08613205,0.7288146,0.05681944
Wind,pred_humidity,42971,45467,0.979727744605593,-0.019870937710047,0.3440957,0.20577908,0.5711036,0.02122879
Wind,pred_w_speed,39259,43227,0.979653951902368,0.0961148791987068,0.3832178,0.14948463,0.6246805,0.09197807
Wind,pred_humidity,41115,47067,0.979507966604018,0.2954974923280702,0.28939342,0.6595402,0.17136717,0.19877958
Wind,pred_pressure,43547,47003,0.9788772892115456,0.1526503444463014,0.042834282,0.17173052,0.07159996,0.2004962
Wind,pred_temp,42907,43483,0.9788726829975254,0.2621349952860859,0.03449011,0.09687376,0.1011672,0.23253107
Wind,target,42907,45403,0.9787999173154434,0.2744464264284646,0.7579131,0.19289637,0.9737158,0.40869904
Wind,pred_humidity,45787,46811,0.978615454327179,0.1872367649892005,0.32635593,0.7145715,0.30647087,0.6946864
Wind,pred_pressure,41691,42267,0.9783461068301312,0.1210762331838565,1.16226,0.60714626,0.87857676,0.32346296
Wind,ture_w_speed,39771,45851,0.978162674572984,-0.1549693297955504,0.18410492,0.26554537,0.45430088,0.5357413
Wind,pred_w_dir,39835,48347,0.9776735541672406,0.2598451204266326,0.17358112,0.12853146,0.4071331,0.36208344
Wind,pred_humidity,41627,44507,0.977290576015213,-0.0659165950953878,0.6765995,0.31271505,0.7958355,0.43195105
Wind,pred_w_dir,39963,41307,0.976298007957094,0.1702374939529312,0.5737977,0.9732771,0.77062464,1.170104
Wind,pred_humidity,40923,44955,0.9750278028616648,0.1433272463236508,0.1354456,0.5118575,0.0055422783,0.37086964
Wind,pred_pressure,43867,45979,0.9748530284020156,-0.0320994092075928,0.8897214,0.25176144,1.0041509,0.13733196
Wind,pred_temp,40475,44699,0.9745395957419326,-0.2306214310808355,0.4360695,0.1907382,0.55331755,0.07349014
Wind,pred_humidity,46939,47899,0.9744883325028528,0.0253724163206652,0.07620287,0.68290997,0.16547966,0.5936332
