dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ZafNoo,swc_deep,15892,16852,0.9964274610951304,0.0866882974713211,0.0549798,0.693604,0.23667288,0.87529707
ZafNoo,swc_deep,15956,16148,0.994901419376525,0.0159464048996668,0.23749018,0.25736284,0.020058155,0.47479486
ZafNoo,swc_deep,16596,17684,0.9899589917300318,0.0773849053357659,0.0029511452,1.3651724,0.08404207,1.4521656
ZafNoo,swc_deep,15764,18900,0.9863691711082112,-0.033933124100845,0.1904149,2.5302954,0.33895302,2.0009274
ZafNoo,precip,17812,18964,0.9829643175460088,-0.2354886557479839,0.72584915,0.15147662,0.4519515,0.42537427
ZafNoo,swc_deep,16276,17236,0.9819274620786927,0.1209765220750022,1.6150131,0.4438014,1.2433071,0.8155074
ZafNoo,swc_deep,17364,18196,0.9805527069038236,0.0403904875363304,0.8239031,0.79254246,0.927001,0.8956404
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15828,16212,0.9740518941355794,0.2556526062791543,0.106974125,0.20461607,0.089220285,0.0084216595
ZafNoo,rh,15380,18068,0.9700080295840184,0.2570580927108159,0.32945347,0.04553938,0.18428755,0.1907053
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15508,17044,0.9692420250840574,0.2677351426699216,0.034044504,0.1681776,0.03731537,0.17144847
ZafNoo,swc_shallow,15764,17492,0.963020679832122,0.2175278495327167,0.63922787,1.3918929,0.6539426,1.3771782
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16532,16916,0.9621173983784224,0.2635181287609882,0.28707314,0.13855529,0.17652011,0.24910831
ZafNoo,swc_deep,16212,17620,0.9607786659041976,-0.1230224242709829,1.4121656,1.5151215,1.5143499,1.6173058
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15764,17108,0.9561950693687687,0.2217448377838103,0.8954351,0.32594514,0.4250071,0.7963731
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15444,16980,0.9550821482372384,0.1752041471057634,0.357363,0.13624406,0.50966144,0.016054392
ZafNoo,swc_shallow,17108,17556,0.9513507637249238,-0.18500801841487,0.3459034,0.16388178,0.25068092,0.068659306
ZafNoo,swc_deep,16340,17812,0.9501734196492402,0.0205669726363127,1.1121387,1.626956,0.9605646,1.4753819
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15700,17620,0.9472489849651352,0.218373630447463,0.18858695,0.24238753,0.16040444,0.27057004
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16020,16404,0.9421133753222656,0.2789518313892284,0.18827963,0.37324548,0.37199187,0.18953323
ZafNoo,rh,16596,18900,0.941807208864163,0.0949235393538521,0.34175372,0.2337358,0.28349185,0.29199767
ZafNoo,swc_shallow,17620,18260,0.941051563081342,-0.1502662523703055,0.70327616,1.0208392,0.9423413,1.2599044
ZafNoo,swc_shallow,16980,18772,0.9388176098186938,-0.1069787134253551,1.153626,0.20888996,1.24681,0.30207396
ZafNoo,rh,15764,16532,0.9388065974878572,0.2974236184234973,0.4731853,0.22927451,0.2806909,0.4217689
ZafNoo,precip,18388,18836,0.9374137756678812,0.2145831269399972,0.18227196,0.30507565,0.14170456,0.018900871
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15956,16724,0.9373425294998984,0.092722111575907,0.23432851,0.012785196,0.08511543,0.13642788
ZafNoo,rh,17492,18452,0.9371732593398184,-0.0510023025637136,0.7141473,0.24367118,0.5465889,0.4112296
ZafNoo,rh,18644,19028,0.9321739149741598,0.2175081451458673,0.45876265,0.0759716,0.009091854,0.5438261
ZafNoo,sw_in,15892,18196,0.9298884299145512,0.2367817652773424,0.13990927,0.14109623,0.106561184,0.17444432
ZafNoo,ppfd_in,15892,18196,0.9298884299145508,0.2367817652773425,0.13990927,0.14109623,0.106561184,0.17444432
ZafNoo,swc_shallow,16468,17428,0.9293495327736508,0.0622771461498503,0.8463938,1.9745159,0.65184426,2.1690655
ZafNoo,swc_deep,17172,18132,0.9247119295878644,0.0750671102716196,0.17588711,1.0511503,0.05347824,0.821785
ZafNoo,swc_shallow,15956,16724,0.9241825890629326,-0.1117294170530304,0.20539379,0.028741837,0.07130957,0.10534239
ZafNoo,swc_deep,16020,16468,0.9235374466016986,0.1205534420709626,1.5290275,1.5612373,1.6257138,1.6579237
ZafNoo,swc_shallow,17044,18900,0.923197809133003,0.0353153834462226,1.1813912,0.44891024,0.6831732,0.049307823
ZafNoo,swc_shallow,16916,18132,0.9216548692986786,-0.1506184896246361,0.26395988,0.87229395,0.056158543,1.0800953
ZafNoo,rh,15444,18516,0.9177609887809994,0.2653395909651654,0.48905587,0.35015106,0.24967432,0.5895326
ZafNoo,swc_shallow,15572,16596,0.9125026683892098,0.0558975022366547,1.1420226,1.0921342,1.0636029,1.1705539
ZafNoo,ws,15444,16788,0.9118412017147812,-0.1506920722508152,0.19810987,0.0656693,0.10121369,0.031226873
ZafNoo,swc_shallow,17300,17812,0.910078055093103,0.2393021105138308,0.49287128,0.19779968,0.463624,0.22704697
ZafNoo,swc_deep,17492,18580,0.9050824912603562,0.2428019967799594,0.2230525,1.1150441,0.14346266,1.0354543
ZafNoo,swc_shallow,16660,17940,0.9039459518140368,-0.025119581542685,1.1389081,2.73518,0.9859836,2.8881044
ZafNoo,precip,16596,18900,0.9034332870111036,0.1464237922358556,0.13686371,0.12598324,0.4808693,0.21802235
ZafNoo,ws,17556,18964,0.8992087620154224,-0.0744703621628679,0.12299633,0.68456125,0.32018948,1.127747
ZafNoo,vpd,16212,18900,0.8929639385069599,0.2176616936517637,0.42976236,0.52075195,0.54500365,0.40551066
ZafNoo,swc_deep,15508,15700,0.892496274487704,0.1331142165692817,0.26111627,1.7643223,0.007865906,2.0175726
ZafNoo,precip,16724,17748,0.8900102968888743,0.1824747102283558,0.2884884,0.21861553,0.5752268,0.5053539
ZafNoo,ws,17300,17748,0.8898439746427637,0.0482986340727373,0.73989487,0.03455305,0.81041574,0.10507393
ZafNoo,swc_deep,17044,19092,0.8886140233108143,0.0596618281639341,0.20279646,2.090579,0.12847996,2.4218554
