dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
electricity,317,22644,23988,0.9934825917354172,0.1635762629298413,0.16148233,0.30619955,0.22076106,0.24692082
electricity,113,25204,26100,0.990702096503514,0.1131264419546761,0.66627264,1.7932019,0.47180128,1.9876733
electricity,129,22132,26164,0.990583571930088,0.2447972418914887,0.4667914,0.21663332,0.26456738,0.014409304
electricity,317,21172,23860,0.99043771054289,0.2803463668865412,0.13435507,0.019844055,0.16480398,0.010604858
electricity,295,21364,23860,0.9897910989698556,0.2971736070634108,0.14664364,0.29976964,0.1653564,0.28105688
electricity,317,22068,25140,0.9897826732570092,0.2975211184723756,0.108244896,0.039578438,0.12799,0.05932355
electricity,246,21748,22708,0.9881491026684364,0.2158178764072747,0.06394911,0.068477154,0.2037878,0.20831585
electricity,103,23476,26164,0.9874954295025858,0.2939452438121518,0.50975966,0.85163593,0.5447564,0.8166392
electricity,87,23988,25332,0.985698549916772,0.0760049130147148,0.2719674,0.2393632,0.17612839,0.14352417
electricity,287,21492,23988,0.9843358601054162,0.2842065306325933,0.5623652,0.3444755,0.39666092,0.51017976
electricity,300,24820,25396,0.984124475369404,0.2415777521846374,0.30853558,0.14861059,0.25819874,0.19894743
electricity,103,22132,24820,0.9833204944404657,0.1909891333910588,0.18647838,0.050962925,0.13274384,0.002771616
electricity,317,21940,22900,0.981720617521776,0.2642304339373102,0.01772356,0.06014824,0.023177385,0.101049185
electricity,287,21876,23604,0.9805126191785808,0.2378047684723397,0.7994108,0.67509985,0.6165788,0.85793185
electricity,317,24628,25588,0.9802209112353576,0.2316028020656191,0.18255782,0.2956152,0.21838355,0.25978947
electricity,300,25076,25844,0.9790919601417946,0.2947324200295645,0.58427715,0.55618334,0.5731175,0.567343
electricity,46,22644,23220,0.9789935264525332,0.2972481231262157,0.1359601,0.11884093,0.04353714,0.02641797
electricity,129,22004,26036,0.9786160482716978,0.2631927210223933,0.3112011,0.032913923,0.42852545,0.08441043
electricity,287,21428,22772,0.97806745351798,0.2894872659817189,0.50099254,0.2703545,0.42620158,0.34514546
electricity,87,22132,24820,0.9771813802303676,0.2819731502307036,0.19407296,0.29849148,0.16931057,0.32325387
electricity,25,21300,23988,0.9770760018754174,0.1435904230314218,0.069232225,0.042342663,0.28130484,0.25441527
electricity,9,24180,25716,0.9768741478004268,0.1892141748258888,0.043173075,0.49438667,0.063268185,0.5144818
electricity,103,23284,25972,0.976151222259024,0.2256131401877322,0.14790654,0.2768035,0.00488019,0.12401676
electricity,275,22708,23476,0.9751037137668098,0.1743738223684481,0.1344881,0.17535996,0.22147107,0.088377
electricity,9,21300,23988,0.974787817411335,0.245271811435902,0.44272494,0.12537217,0.5308974,0.2135446
electricity,168,23412,24948,0.9746055922689454,0.2928948213068644,0.3015437,0.07256198,0.1381669,0.09081483
electricity,151,24308,25460,0.9743439948987668,0.2976929175346995,0.11723781,0.12579226,0.029558182,0.21347189
electricity,287,21812,24116,0.974199640783685,0.2541001244179625,0.36346364,0.5320852,0.15375447,0.74179435
electricity,287,22900,25396,0.9741739604748818,0.2818462370875482,0.16605115,0.39574814,0.17520356,0.40490055
electricity,66,23732,25076,0.9740633897886318,0.2729040949321039,0.27353537,0.113458276,0.5499753,0.38989818
electricity,174,24692,26036,0.9736141212246452,0.2735235681344113,0.051767826,0.004448414,0.03894329,0.01727295
electricity,129,22836,25524,0.9735306478748224,0.1172573691513469,0.19175458,0.102226496,0.3204093,0.026428223
electricity,95,21364,25780,0.9728913168334292,0.29188283134466,0.050431013,0.31650352,0.11951661,0.24741793
electricity,103,21876,24756,0.972593432924617,0.2605609325878583,0.2559302,0.20269012,0.21050239,0.24811792
electricity,119,22132,25396,0.9718686214994868,0.2709462298199571,0.87969446,0.7652314,0.54705024,1.0978756
electricity,317,23412,25140,0.9718677841483204,0.2969591712374023,0.1664412,0.018761158,0.1976831,0.012480736
electricity,129,23348,24692,0.9717127598761992,0.0207728745242148,0.17917418,0.0043041706,0.30779076,0.13292074
electricity,184,23540,24692,0.9712640349712444,0.2517425122739827,0.16291547,0.1530621,0.21189094,0.10408664
electricity,105,21364,25012,0.9708466503832636,0.2970489810128018,0.760398,0.46628797,0.5590741,0.66761184
electricity,27,21492,22836,0.9706060096660456,0.2575096936576501,0.15100157,0.037595868,0.093159795,0.095437646
electricity,307,21620,25076,0.9705105833494804,0.2031287516387983,0.12854052,0.6031623,0.05180955,0.42281222
electricity,112,23220,25140,0.970486172202232,0.2375939871674715,0.29182744,0.057018757,0.43481696,0.20000827
electricity,87,22068,24948,0.9698598884969668,0.2504737098801857,0.28093076,0.40355587,0.18234849,0.50213814
electricity,133,21172,25204,0.9694088638887356,0.1489337562749722,0.060953617,0.4875176,0.0798645,0.5064285
electricity,99,21300,25332,0.9693993516851356,0.2987567158739466,0.82878876,0.77333045,0.9589453,0.64317393
electricity,184,22644,25908,0.9692900983416748,0.2636018147514014,0.12784362,0.04941988,0.062633514,0.015790224
electricity,300,24948,25140,0.969140517876512,0.1911844479629965,0.072763205,0.062235594,0.0041913986,0.1391902
electricity,103,22004,24692,0.9689797892733896,0.2246253001928921,0.25559998,0.030013561,0.25625563,0.02935791
electricity,307,22004,24884,0.968889132310132,0.186807060551802,0.30185032,0.61344457,0.10617328,0.41776752
electricity,18,23092,24628,0.9680413521131368,0.2604505382180785,0.18500161,0.10358083,0.32091832,0.23949754
electricity,307,22132,26164,0.9675504762380194,0.2777374593773739,0.5693518,0.33873057,0.53552544,0.30490422
electricity,127,24692,26036,0.967422718762227,0.193896138466707,0.0916419,0.30024457,0.018062592,0.19054008
electricity,OT,22324,25012,0.9672782563625164,0.2570776440214177,0.42865157,0.45872593,0.41789746,0.46948004
electricity,307,21236,22964,0.9672109340462992,0.2111437604950995,0.32077527,0.33885038,0.19833922,0.21641433
electricity,295,21748,25204,0.9670351591629937,0.2873825959448052,0.38916564,0.39083624,0.42179847,0.3582034
electricity,103,22068,23604,0.9666101122231427,0.2324997337358761,0.031607866,0.3389566,0.09839606,0.2721684
electricity,287,23220,25908,0.9664358713968844,0.242041435525261,0.11173725,0.3223107,0.21293974,0.42351317
electricity,319,23028,25716,0.9659741664302324,0.2612261484182184,0.1258452,0.011276722,0.14531732,0.0081954
electricity,159,24692,25844,0.9657905573079264,0.2686626594526312,0.08873224,0.16666818,0.11938858,0.13601184
electricity,129,22452,25140,0.9655208692148448,0.2882365641977635,0.3712809,0.26779747,0.27796483,0.17448139
electricity,36,21876,22260,0.9651993023095962,0.2466639906220795,0.02395606,0.01827979,0.07540512,0.06972885
electricity,307,21748,22324,0.9650155856576352,0.2943943912174326,0.081332445,0.26092768,0.15501142,0.1872487
electricity,118,23284,25780,0.9649900340504068,0.1489206367899027,0.20437098,0.45813727,0.040392876,0.29415917
electricity,25,22452,23796,0.964739010085316,0.1703155698129261,0.32528043,0.2599995,0.37062383,0.21465611
electricity,255,22644,25908,0.9640425382555464,0.2489246119083522,0.26671934,0.48055768,0.30053878,0.44673824
electricity,192,22324,25972,0.9636588444035904,0.2882077944077681,0.012187481,0.4152584,0.14886022,0.27858567
electricity,317,23860,24244,0.9630520701499308,0.2310223366996063,0.053523064,0.1492281,0.093104124,0.109647036
electricity,295,22324,25972,0.9629059402194045,0.280580842767639,0.13071299,0.15308475,0.0673368,0.21646094
electricity,307,21172,25204,0.9626186985598394,0.1636544091571623,0.27791882,0.44793737,0.124721766,0.29474032
electricity,119,22580,24884,0.9623669101361249,0.296159513127964,0.36024356,0.49078774,0.50892305,0.34210825
electricity,307,21812,25268,0.962189942309534,0.2665586487629878,0.0573256,0.7822578,0.27555537,0.564028
electricity,129,21492,24180,0.9621793193939958,0.2913206961545208,0.1929419,0.66363215,0.4873631,0.36921096
electricity,310,21108,22452,0.9621767452383888,0.1312631965650054,0.24267697,0.5176091,0.2816465,0.55657864
electricity,255,25460,26228,0.9612278724013724,0.2946752280478164,0.5993992,0.1499939,0.3631091,0.386284
electricity,25,22132,24820,0.9599307398446169,0.1817760325923237,0.11221504,0.046728134,0.15894842,5.2452087e-06
electricity,307,21556,24436,0.9596497676899448,0.0589595471390756,0.43904376,0.55321336,0.28656912,0.40073872
electricity,247,23540,24692,0.9592172042766064,0.2875217471747388,0.25850606,0.19845223,0.16483474,0.29212356
electricity,295,21300,23796,0.9586595859139504,0.2989482061200965,0.068781614,0.2030201,0.038441658,0.31024337
electricity,104,23348,26036,0.9585042934469528,0.1178446783548647,0.38574195,0.4076631,0.4499538,0.34345126
electricity,245,21940,24244,0.9583274264005434,0.1945033168538397,0.16063523,0.10602784,0.17058182,0.09608126
electricity,119,25332,26100,0.958310150786078,0.1948539067841248,0.26898313,0.40639853,0.37808228,0.29729939
electricity,56,22580,24692,0.9581822388408728,0.2004122582492811,0.4117278,0.098317504,0.7176651,0.20761979
electricity,317,22196,22964,0.958173386663989,0.2277757620379825,0.089752674,0.20133042,0.13443375,0.15664935
electricity,295,21684,25332,0.9576922347197812,0.1415125508917341,0.17013884,0.15994549,0.033988953,0.29609537
electricity,255,25652,26036,0.9576482249655202,0.1914049646057111,0.3668387,0.107135296,0.22770524,0.24626875
electricity,9,23860,25204,0.957507186120066,0.2900343894563126,0.6122701,0.000736475,0.5160117,0.09699488
electricity,287,22004,23540,0.957459896748574,0.1756791355307196,0.20238519,0.60231304,0.22074318,0.58395505
electricity,300,21364,25780,0.9572453535383612,0.1479560553575052,0.7011585,0.12643147,0.25445294,0.3202741
electricity,300,22068,25908,0.9572369100163072,0.286826298278807,0.1583128,0.26319122,0.18432498,0.2892034
electricity,83,21492,24372,0.9569921719571036,0.294989240567898,1.2035763,1.1393683,1.5139005,0.8290441
electricity,287,21300,25524,0.95670524440366,0.2810350310239396,0.2871468,0.12308192,0.0043845177,0.41461325
electricity,18,23604,24756,0.95661965058535,0.1673769165081762,0.42196214,0.31856704,0.2023884,0.0989933
electricity,109,21364,23668,0.9565944838293748,0.2832707465001906,0.45135272,0.11298609,0.43484962,0.09648299
electricity,127,24180,25524,0.9564234210336392,0.2526391302148223,0.11712575,0.19983292,0.08003354,0.002673626
electricity,155,22516,25972,0.9562774530319468,0.1657220647522264,0.18997335,0.4272864,0.021621704,0.25893474
electricity,125,22132,22516,0.955814083765523,0.2799251008748168,0.33475113,0.2848134,0.3095982,0.30996633
electricity,112,21556,25204,0.9551094070734196,0.278383916659371,0.033082485,0.25260985,0.036172032,0.2556994
electricity,310,21236,22388,0.9548538968546968,0.1481367076258665,0.47441173,0.58375573,0.17212129,0.2814653
electricity,307,22772,25844,0.9547284891371562,0.2363789564656908,0.46906626,0.6835768,0.2723161,0.48682666
electricity,307,21044,26228,0.9546395399930534,0.235780301405462,0.3164053,0.42161977,0.34909678,0.45431125
electricity,255,23284,25780,0.954508968908788,0.2130194278501171,0.085374475,0.6229955,0.45164979,0.2567202
electricity,103,22260,24564,0.9544861064037558,0.2376736537054961,0.019845724,0.28917575,0.15286565,0.42219567
electricity,18,21428,24884,0.9544394637278912,0.2105773469925334,0.20072329,0.0540092,0.4183824,0.16364992
electricity,6,22964,23348,0.9541725250623428,0.1249745930621434,0.29191542,0.1885829,0.50689554,0.026397228
electricity,6,23220,23412,0.9541481310259828,0.1685548200696807,1.1399999,0.24754333,0.7523961,0.14006042
electricity,104,23540,24692,0.9541366116548666,0.2310375464725554,0.855844,1.3324246,0.47992396,1.7083447
electricity,307,21876,24372,0.9538314590306676,0.2710337423200391,0.08043766,0.62804115,0.15257025,0.86104906
electricity,66,21428,25652,0.9537720954567308,0.2948751527644256,0.56091046,0.14706016,0.84860146,0.14063084
electricity,17,24116,24500,0.9536723509482564,0.2697096157004251,0.05194688,6.0796738e-05,0.15132022,0.099312544
electricity,4,22388,23732,0.9535089421245354,0.2965271576154502,0.5183637,0.245116,0.38507676,0.11182904
electricity,18,21620,24116,0.9534319859059572,0.2914415934072126,0.18798113,0.11866963,0.29411578,0.22480428
electricity,41,22580,25652,0.9531577335289008,0.2361604118524259,0.12819695,0.081156254,0.2512089,0.2041682
electricity,115,24308,25140,0.9530815047292756,0.0918764831507039,0.25821066,0.83609724,0.21062756,0.78851414
electricity,9,22132,23476,0.9529440986254786,0.190325496878959,0.34624982,0.45195198,0.13172483,0.66647696
electricity,117,21172,25204,0.9528643967791092,0.1885053327718463,0.65106773,0.6551466,0.48554087,0.82067347
electricity,36,22452,23796,0.952663373999468,0.2749297504844713,0.06520915,0.051338434,0.14241576,0.025868177
electricity,83,23924,25460,0.9525128351525742,0.1999593936056093,0.13705873,0.4480343,0.080684066,0.39165962
electricity,295,21108,21876,0.9521880186495846,0.0798200087496422,0.057130337,0.2283032,0.034172773,0.20534563
electricity,295,21172,25012,0.9520692040958044,0.2728369655986123,0.05458355,0.111846685,0.021296501,0.14513373
electricity,104,22964,23988,0.951905062870058,-0.2367726604794646,0.676353,1.2802749,1.1106768,0.8459511
electricity,86,22644,26100,0.9518436648748936,0.2607485330172242,0.9791274,0.62389755,0.6152482,0.98777676
electricity,133,21620,25652,0.9518409808110344,0.2940103533130856,0.025691032,0.610013,0.075032234,0.5606718
electricity,83,24180,25524,0.951446400996635,0.1873188815817998,0.28304386,0.24999475,0.18061566,0.14756656
electricity,18,23284,24820,0.9509747330443424,0.2616133664413242,0.17372465,0.2541561,0.13754106,0.21797252
electricity,118,23988,24180,0.9507763413706672,0.1045248599566504,0.8586612,0.56738377,0.7903609,0.635684
electricity,66,23924,24692,0.9500697466242318,0.2728082383943749,0.23984182,0.16602254,0.40157223,0.0042921305
electricity,246,21812,24692,0.9500093729648252,0.2468771221622509,0.10659528,0.21844208,0.03603506,0.2890023
electricity,239,24372,24756,0.9499037555514404,0.2829546658797818,0.3701055,0.25054264,0.46688867,0.15375948
electricity,87,22260,25908,0.949833169947908,0.2156969051616616,0.026370049,0.25330567,0.123925686,0.3508613
electricity,143,23412,25908,0.949797822108426,0.2691796551652182,0.010186195,0.13165116,0.03465295,0.15611792
electricity,317,22004,24692,0.9496049716270678,0.26965321289268,0.0021309853,0.12195802,0.014081955,0.10574508
electricity,9,21556,24244,0.9495567042953044,0.1545040041478201,0.5986147,0.14931583,0.59864044,0.14929008
electricity,299,21812,24116,0.9492400602341632,0.2990015878149429,0.015383601,0.84828144,0.5707629,0.26213497
electricity,129,21620,25652,0.9491804665683778,0.1467405338581252,0.16442204,0.15546441,0.16667533,0.1577177
electricity,158,23988,24756,0.9484741100623828,0.2475390309739054,0.31375933,0.15127897,0.31574726,0.14929104
electricity,103,23028,24372,0.9481813277522334,0.1527474287595197,2.7117064,0.7660191,2.36484,1.1128855
electricity,131,22260,23220,0.9479123868226964,0.2296641575444474,0.10515714,0.13923621,0.47684336,0.51092243
electricity,6,22132,22708,0.9477408336454012,0.2954364969322387,0.779469,1.0188723,0.18604302,1.6122983
electricity,59,22196,23732,0.9474550862843716,0.2758611242160285,0.24630451,0.11874175,0.4579506,0.33038783
electricity,300,23284,25588,0.9471620069150652,0.2947059354236963,0.537956,0.2902851,0.5476477,0.2805934
electricity,14,21556,24820,0.9471074541280814,0.2971282340167508,0.1808002,0.014509201,0.32936,0.13405061
electricity,115,21172,21748,0.9470687862362857,0.284623960317342,1.1092062,0.7796807,1.6013184,0.28756857
electricity,133,21300,25332,0.9463319219029314,0.1577147933111238,0.13137674,0.4551785,0.14697838,0.7335336
electricity,155,23092,26164,0.946315237340678,0.2875833417802078,0.19864917,0.44873118,0.043819666,0.20626235
electricity,128,23796,26100,0.9462654363321928,0.2663938969046039,0.5026753,0.46918166,0.53222835,0.4396286
electricity,128,22516,23860,0.9462374800282076,0.241810129496656,0.28751183,0.09711909,0.16266513,0.22196579
electricity,239,24052,25012,0.9461242950897376,0.0344284830069209,0.56179154,0.32351828,0.6456851,0.23962474
electricity,317,23348,24692,0.94581775498391,0.2404465385456242,0.0027775764,0.05182147,0.12564158,0.07659769
electricity,161,21684,22644,0.945683550705008,0.2908581231713643,0.1938653,0.24608994,0.17605567,0.26389956
electricity,121,23028,25076,0.9456467837914376,0.2748964720794109,1.3208401,0.382823,0.6269901,1.076673
electricity,27,24180,25716,0.9455078082235724,0.2804844721816565,0.3292626,0.21118748,0.2564075,0.13833237
electricity,307,22196,25460,0.945468359365695,0.1398288684940742,0.54234624,0.2106173,0.503314,0.17158508
electricity,130,21492,25524,0.9453375862744666,0.0131923431114992,0.043664932,0.26773143,0.057333946,0.3687303
electricity,287,21748,23476,0.9452713876372224,0.2892420690055688,0.38954163,0.7685232,0.5474782,0.61058664
electricity,31,21108,25332,0.9452301320020796,0.1425030296012647,0.42208254,0.13513589,0.43536866,0.121849775
electricity,67,21940,24820,0.945088082985486,0.1794515073494758,0.23631597,0.120565414,0.28846455,0.172714
electricity,129,22196,24884,0.9448971622157248,0.1164319637007102,0.44007874,0.16416931,0.5937829,0.31787348
electricity,79,21044,23924,0.94465562540617,0.2784082968945824,0.20527685,0.49969518,0.34730232,0.3576697
electricity,110,23412,23988,0.9445179252286804,0.2852542582412378,0.7317815,0.27394223,0.52706265,0.47866106
electricity,298,22452,25972,0.9442431586923198,-0.1052086123201934,1.7414727,0.75490713,1.6605568,0.6739912
electricity,255,22196,25844,0.944214523880048,0.0828050761044407,0.13557434,0.22315931,0.058630228,0.30010343
electricity,194,23732,26036,0.9440671351037004,0.279800855800023,0.22674191,0.25504446,0.2654884,0.21629798
electricity,66,24628,26164,0.943906253690276,0.2860537527528586,0.47787166,0.2509259,0.2695402,0.042594433
electricity,81,21620,24820,0.9439049812594834,-0.0337187116042186,0.546556,0.56080604,0.06822777,0.08247781
electricity,104,22196,22388,0.9438606307711832,0.0860155910239816,0.06497502,0.1243906,0.02723813,0.03217745
electricity,125,22068,22452,0.9430173733792792,0.2606683447804337,0.4578967,0.3751607,0.3394313,0.49362612
electricity,81,23860,24244,0.94291499348233,0.2209706693346896,0.75043535,1.4467478,0.5788908,1.6182923
electricity,104,21748,23156,0.9429028575838118,0.2022953149690403,0.32651806,0.31926823,0.208076,0.20082617
electricity,4,23284,25780,0.9428859140305956,0.0846689645721903,0.00071287155,0.6064551,0.020701408,0.58646655
electricity,239,24116,24692,0.9425819195895871,0.1260886299425544,0.29566932,0.23187006,0.32911444,0.19842494
electricity,148,22708,26164,0.9424800928597972,0.2490700525118208,0.014165163,0.1764543,0.06947136,0.26009083
electricity,303,21620,25460,0.9417696913720176,0.2636918093555471,0.4557085,0.6334369,0.54334545,0.5458
electricity,134,22132,24820,0.9417681232349846,0.2239173339796892,0.25658607,0.1199286,0.32162833,0.18497086
electricity,194,25524,25716,0.9413946199979958,0.2857307897336948,0.035310984,0.017255187,0.025146723,0.04320252
electricity,307,21108,25332,0.9413738578794923,0.2048358062995009,0.19682312,0.29333973,0.2142973,0.3108139
electricity,84,25780,25972,0.9413174694482758,0.1445026436939257,0.39083624,0.83655024,0.9149895,0.312397
electricity,307,22068,25140,0.9413033610686848,0.0259619972308721,0.30381417,0.59340405,0.39852524,0.6881151
electricity,122,21108,25716,0.9411948349331796,-0.1996586176140936,1.9783821,0.53759813,1.4441257,1.0718546
electricity,192,23092,25012,0.9410221477510466,0.252669343016338,0.18325281,0.21284199,0.068362474,0.09795165
electricity,112,23284,25972,0.9408522586191636,0.2867412531719688,0.3704052,0.04722619,0.37674284,0.053563833
electricity,23,23540,24692,0.9408429741144068,0.2946357121194847,0.01870644,0.027813554,0.2317797,0.1852597
electricity,56,21492,24180,0.940716209782978,0.2741476188129052,0.2659092,0.091766596,0.4080763,0.23393369
electricity,132,22324,25012,0.9405666837073792,0.2863519429858575,0.06123805,0.24139261,0.15316987,0.33332443
electricity,129,21684,25716,0.9400437386449492,0.241975326173866,0.2686746,0.24774599,0.31730318,0.29637456
electricity,27,24692,25268,0.939811660586116,0.2844007085389206,0.02701044,0.2301054,0.0634706,0.26656556
electricity,299,21172,24244,0.9397162056746926,0.1324005810760936,0.13011885,0.21765244,0.091965914,0.4397372
electricity,130,21748,23988,0.939673803866876,0.178184907270866,0.88301516,0.14482689,0.9360845,0.091757536
electricity,184,24052,24820,0.9396579676656877,0.2994998809731115,0.09411287,0.060568333,0.028710604,0.0048339367
electricity,117,23092,24052,0.9396254910462551,0.2560616448365669,0.11932993,0.056092024,0.09828138,0.035043478
electricity,109,21748,22132,0.9394169479128212,0.2925028958035567,0.24839926,0.12933326,0.43984723,0.32078123
electricity,194,21556,25204,0.9393999302839484,0.258103880644445,0.03218341,0.13276911,0.09627807,0.068674445
electricity,84,25524,25716,0.9390945226398496,0.1474888495846291,1.4406381,0.6574886,1.0025778,1.0955489
electricity,317,22964,25652,0.9390829917011346,0.0970908410523969,0.056322813,0.040388346,0.11495328,0.09901881
electricity,79,21748,24244,0.9387229772259305,0.2160905521181182,0.5423038,0.51546335,0.29149294,0.7662742
electricity,255,22324,25972,0.9387073657058084,0.2061404264487764,0.08767867,0.43428206,0.19068599,0.1559174
electricity,56,21940,23860,0.938679133802786,0.2379922802363809,0.47789717,0.09391284,0.59009624,0.20611191
electricity,299,23092,25972,0.9386581298992238,0.2835073998673582,0.7693498,0.2687881,0.29586923,0.20469248
electricity,68,21300,26100,0.938578625322576,0.2768609911884253,0.5298197,0.69878817,0.51396704,0.71464086
electricity,56,22196,24308,0.9383621918227888,0.2799594737575359,0.6066333,0.0082137585,0.591807,0.0066125393
electricity,113,25844,26036,0.9383068451149744,0.164653992744556,0.52395153,0.15126038,0.28181458,0.6545057
electricity,310,21300,22644,0.9382943706723216,-0.0236009048112487,0.39241314,0.43990552,0.43026435,0.47775674
electricity,155,22132,25588,0.9382461236986468,0.225385088711105,0.43984818,0.038802147,0.3420515,0.13659883
electricity,133,22004,26036,0.9381770390282858,0.153505637932809,0.47178364,0.0767355,0.4689045,0.073856354
electricity,307,22708,23860,0.938032090341561,0.1778508310654353,1.0982027,3.6169436,1.1516953,3.563451
electricity,255,23092,26164,0.9378851918463262,0.1777231035898836,0.35581207,0.3747542,0.07389903,0.09284115
electricity,56,21620,26036,0.9376590191510517,0.2289006219021902,0.67267966,0.080450416,0.7003995,0.05273056
electricity,127,23668,25012,0.9376574700633408,0.0521880266504687,0.37769985,0.12599707,0.38889742,0.1147995
electricity,4,21236,25460,0.9376552506826462,0.2868737730150618,0.3395629,0.015637875,0.44364572,0.08844495
electricity,1,24372,25332,0.9374457550144846,0.2525770781208791,0.28910732,0.107710004,0.35180497,0.17040765
electricity,112,21364,26164,0.9374242014449926,0.2766649601837947,0.63751185,0.82595944,0.83466804,0.62880325
electricity,56,21812,24500,0.9373199209738418,0.0676391430231785,0.47650254,0.06927395,0.6473981,0.10162163
electricity,117,24628,25972,0.9370881512019288,0.1569330809340678,0.5281286,0.09844732,0.3842306,0.045450687
electricity,55,21940,24436,0.936881548398646,0.2996635153126142,0.006828189,0.2211653,0.03393483,0.26192832
electricity,113,24564,24948,0.9368242743519416,0.1127380747223572,0.915339,0.6323757,0.93382263,0.6138921
electricity,111,24436,25588,0.9367181172286008,0.2756807876156276,0.36392283,0.5574596,0.6516981,0.2696843
electricity,54,21620,24308,0.9362618339028768,0.2904978583581309,0.070335865,0.20241189,0.35140085,0.48347688
electricity,116,21620,23348,0.9361843630418076,0.2491077076656467,0.06917167,0.12164235,0.051502705,0.13931131
electricity,130,21812,23156,0.9360100011414544,0.1861390827055396,0.7377095,1.3518782,1.7138772,0.3757105
electricity,117,21428,23924,0.9354945582541748,0.25307752053008,0.6852622,0.39627075,0.38909864,0.6924343
electricity,287,23092,24436,0.9354844976695548,0.008032298017713,0.37644792,0.4561782,0.45725965,0.37536645
electricity,287,21044,24692,0.9349474259628542,0.2470215004219271,1.0197713,1.0211716,0.9568956,1.0840473
