dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
solar,124,48960,51264,0.9996341671606832,0.2464132393690358,3.2429867,0.38179064,3.057218,0.19602203
solar,47,48896,50048,0.9996073785660564,0.0549634318725326,0.038100243,0.06750965,0.044686794,0.0609231
solar,106,43712,51776,0.9996008316724524,0.2040866848238627,0.029267311,1.9444299,0.15540361,2.0705662
solar,20,44864,48320,0.9995392928348974,0.2747932032323137,0.07916641,0.22341728,0.1314578,0.17112589
solar,85,47168,48320,0.9995303524672348,0.2417293648745052,0.25463152,0.10957432,0.31770468,0.04650116
solar,86,48384,49536,0.9995285594499628,0.2761742474825132,0.047619343,2.7683706,0.09726429,2.9132543
solar,107,42688,44416,0.9995215238449394,0.2774387619165535,0.081255436,0.07581091,0.06463289,0.22169924
solar,2,46080,46656,0.9995135383264888,0.2101509781052259,0.25981712,2.635809,0.23314524,2.609137
solar,35,43712,44288,0.9995062903397756,0.2653133348732903,0.50973225,0.21810246,0.60720444,0.120630264
solar,76,44288,50048,0.9994650926197164,-0.1229573093121474,0.017865181,0.27009916,0.054949284,0.34291363
solar,70,45440,47744,0.9994556266113088,0.1852677076006357,0.17754126,1.2288852,0.2959876,1.1104388
solar,124,42688,48448,0.9993632456152054,0.275576806186772,0.115223885,0.29103804,0.41297102,0.006709099
solar,80,46720,51904,0.9993528528696068,0.2937527910888301,0.83754873,0.018224716,1.0877576,0.26843357
solar,28,45504,48384,0.9993444834722548,0.2860595123728064,0.6246686,0.07015324,0.48331785,0.21150398
solar,34,44928,46080,0.9993415372899896,0.2840940305624757,0.044986248,0.22107744,0.24428129,0.0681901
solar,95,44928,51840,0.99932929774961,0.2227845124201932,0.4407959,0.10741472,0.4784646,0.14508343
solar,103,43200,49536,0.9993272286161242,0.2854224637375124,0.124094486,1.527782,0.3514738,1.7551613
solar,69,43712,48320,0.9993062193741774,0.2509412960696138,0.50588894,0.3726287,0.6804409,0.19807673
solar,71,47232,49536,0.9993051190926786,0.2504305323727651,0.027576923,1.5612063,0.08797884,1.4456506
solar,11,46144,51904,0.9993050006545716,0.2499904772845992,0.17814016,0.24670553,0.38135672,0.04348898
solar,31,43200,45504,0.9993010998360264,-0.0393974695290245,1.0865922,0.6628599,1.0197086,0.59597635
solar,128,43200,50112,0.9992612129296226,0.1315810796877095,0.23302269,1.9700556,0.17451239,1.9115453
solar,35,48960,50688,0.9992575136910092,0.2668140758836945,1.827321,0.15741873,1.8712406,0.113499165
