dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
traffic,184,14676,15636,0.9898279735865702,0.2672260859982149,0.10670233,0.22273803,0.0006225109,0.11541319
traffic,842,14292,15636,0.9895226746459266,0.276955677177435,0.0582695,0.022078991,0.045456648,0.009266138
traffic,524,14228,16724,0.9889976693321328,0.1499348475945832,2.62217,0.9069154,2.3418145,1.1872709
traffic,280,14676,15636,0.9887605219509398,0.2701891379885531,0.16104078,0.17510653,0.06794834,0.082014084
traffic,107,14100,15444,0.9882868884972108,0.2879844859871916,0.17540383,0.18039966,0.1529882,0.2028153
traffic,593,14164,15508,0.9877047784981976,0.2709257827304954,0.04157114,0.03920412,0.06518388,0.015591383
traffic,535,14036,15764,0.9873742632962996,0.2536396120544841,0.09309828,0.063223004,0.090616345,0.06570494
traffic,101,14676,15636,0.9865853300382617,0.1732946632072339,0.1646235,0.03088975,0.14917111,0.015437365
traffic,62,14484,15828,0.9864198624388884,0.2765356202833676,0.13376522,0.26324344,0.27590823,0.121100426
traffic,708,14484,15828,0.9859956645761578,0.2845084172331571,0.084326506,0.06857824,0.040202618,0.024454355
traffic,836,14804,16148,0.9856879145372044,0.0298014775244322,0.24963117,0.27206993,0.2648177,0.25688338
traffic,619,14164,15508,0.9855310404891964,-0.0040701079176424,0.0039818287,0.0045437813,0.036307573,0.027781963
traffic,167,14804,16148,0.9854166531943892,0.2409934884477868,0.12766218,0.03418684,0.103714705,0.058134317
traffic,756,14228,14612,0.9852955626018716,0.2826541629556884,0.23897862,0.084162235,0.1355443,0.18759656
traffic,112,14100,15444,0.9848594631985408,0.2061981606557212,0.11863494,0.2626207,0.18800926,0.19324636
traffic,748,14612,16724,0.9840223527398818,0.2812616930185663,0.20625162,0.37330627,0.2169888,0.3625691
traffic,788,14676,16980,0.983292511888811,0.2702201826782063,0.108009815,0.4285791,0.09056902,0.23000026
traffic,124,14484,15828,0.9830711815468116,0.2064082626902987,0.15994263,0.031905174,0.11553335,0.07631445
traffic,738,14676,16980,0.9826932220915195,0.2596915105756853,0.3371141,0.9360198,0.085785866,0.5131198
traffic,256,16148,17300,0.9823641915600824,0.0671866132765973,0.061382055,0.060914755,0.11994696,0.119479656
traffic,203,14676,15828,0.9822661765888514,0.1188226357758956,0.1223855,0.75102854,0.4729154,0.40049863
traffic,296,14420,16724,0.982081220977042,0.2505080604013391,0.2988789,0.21816134,0.242383,0.27465725
traffic,564,14484,15828,0.9813992367953072,0.2617982211576485,0.0021533966,0.38404226,0.31869555,0.06319332
traffic,547,14164,16852,0.9810842732559092,0.2782944961169741,0.09575534,0.5746864,0.08634043,0.39259064
traffic,161,14164,15508,0.9809829731943404,-0.1145315478377364,0.14832115,0.23157835,0.2109189,0.1689806
traffic,788,14036,14612,0.9808440379529044,0.2798780472322308,0.30307245,0.21294594,0.21567869,0.3003397
traffic,452,14420,16724,0.9804951705213512,0.2602779549131335,0.3527007,0.25699377,0.30431318,0.3053813
traffic,37,15828,16980,0.9802102230055862,0.2026855426858653,0.0027811527,0.76467776,0.38675308,0.38070583
traffic,508,14484,15828,0.9799399485489032,0.2301385777521998,0.23512506,0.3441751,0.43932915,0.13997102
traffic,633,14484,15828,0.9796407581515886,0.2017197155197481,0.04769659,0.06845546,0.011995792,0.03275466
traffic,636,14100,16212,0.9795009838688644,0.2946693156936205,0.262501,0.055870056,0.19885969,0.119511366
traffic,215,14100,15252,0.9793826908315764,-0.0629725434870688,0.34806132,0.37464356,0.25827932,0.46442556
traffic,277,14164,16852,0.9792308480276752,0.2919468565110603,0.19779396,0.099747896,0.19147563,0.093429565
traffic,679,16148,17300,0.9790678862250068,0.0295604084294774,0.14903712,0.20886445,0.0002975464,0.35819912
traffic,179,16276,17044,0.9789981376279238,0.217459189048334,0.13937163,0.22663498,0.15899801,0.2070086
traffic,244,14676,17172,0.9788204716563164,0.2307728685474714,0.3330407,0.037495375,0.23729467,0.13324142
traffic,278,14484,17172,0.9787789888560228,-0.0392136503964632,0.106607676,0.086875916,0.12738466,0.1076529
traffic,607,14100,16404,0.978308804139745,0.274762386181103,0.10150361,0.19018555,0.15276194,0.13892722
traffic,601,14484,15828,0.978006861394528,0.2031372776485974,0.37749648,0.40890145,0.3400042,0.44639373
traffic,860,14804,16148,0.9780023927535524,0.2737152904422826,0.030736923,0.080274105,0.028521061,0.08248997
traffic,716,14676,16788,0.977993115692696,0.2381069986046588,0.20721602,0.24414039,0.04587698,0.08280134
traffic,756,14804,16148,0.9779681622209716,0.2045887614090027,0.1349659,0.20396924,0.14119554,0.1977396
traffic,132,14484,16980,0.9779486200451374,0.2054111950840931,0.1055603,0.6455233,0.33281302,0.4182706
traffic,258,14932,17428,0.9778659229587296,0.1691365532359658,0.27072883,0.4163766,0.21327257,0.47383285
traffic,735,14676,16980,0.9776803718625644,0.1827096946253664,0.22458816,0.6027608,0.063628435,0.3145442
traffic,388,14484,17172,0.9775714336716153,0.252082550682929,0.024507761,0.22745681,0.094894886,0.15706968
traffic,778,14484,16980,0.9775444431403624,0.2712938516177978,0.14648724,0.6858845,0.4347105,0.3976612
traffic,678,14100,16404,0.9775079879984384,0.1914561522659587,0.33204746,0.23470736,0.46646643,0.10028839
traffic,530,15892,17044,0.977259567416987,0.2632899177253436,0.43790638,0.5445044,0.88292587,0.09948492
traffic,159,14292,14676,0.9772534637350684,0.2437056618503599,0.48493862,0.91302013,1.008287,0.3896718
traffic,587,16148,17300,0.9772340014867013,0.1205345762627256,0.41793656,0.22570443,0.30418372,0.33945727
traffic,730,14228,16724,0.9770348939664628,0.2241250858491195,0.4112816,0.44296265,0.21230555,0.6419387
traffic,709,15956,16148,0.9769691260787882,0.0722644970412188,0.951334,0.3131702,0.36190617,0.902598
traffic,530,15124,17428,0.9768338356424068,0.2520968033786342,0.37102473,0.021297216,0.6692189,0.27689695
traffic,836,14932,15892,0.9767898825514226,0.2475570861803919,0.34124064,0.35443425,0.3156135,0.3800614
traffic,748,14548,14740,0.976755718623386,-0.21732384086556,0.01951456,0.00018596649,0.025567055,0.04489565
traffic,764,14676,16596,0.9767292365632928,0.2642973772550796,0.37824988,0.598945,0.51637864,0.46081626
traffic,575,16660,17236,0.9765241449757788,0.2636443598927835,0.45136046,0.36322355,0.3723271,0.44225693
traffic,740,14100,15060,0.9763929577023972,0.226561503215401,0.0058500767,0.10388422,0.017206669,0.09252763
traffic,494,14164,16852,0.9762666563483948,0.1729598157631492,0.0925045,0.5408586,0.06486273,0.3834914
traffic,747,14868,15444,0.9761856534378368,0.2434809169171083,0.44920683,0.44465995,0.48323202,0.41063476
traffic,530,15060,15636,0.9761719197163704,0.179433835268088,0.07449651,0.17983413,0.31106925,0.056738615
traffic,8,15060,16788,0.9759690665207168,0.175012579761023,0.34065068,0.27648818,0.05863166,0.005530834
traffic,247,15828,16980,0.9758272279772984,0.0991797053533334,0.1853528,0.78400517,0.38701892,0.58233905
traffic,77,14484,17172,0.975712940810289,0.0528882867945198,0.10783005,0.30159235,0.1545353,0.2548871
traffic,530,15252,16020,0.9754389799347932,0.1706453505291211,0.47698474,0.6012523,0.68521285,0.3930242
traffic,304,14228,15380,0.9753135158991943,-0.0147453110903778,0.5072911,0.11598992,0.1783191,0.4449619
traffic,51,16724,17108,0.9751693715976028,0.2524000919468722,0.49533248,0.2662568,0.20734,0.5542493
traffic,735,14100,15060,0.974809520228559,0.2252760452894124,0.056425333,0.07491374,0.01697278,0.035461187
traffic,456,15508,16852,0.9747127891607004,0.1331485488320324,0.11707902,0.46270967,0.25120783,0.09442282
traffic,769,14804,17300,0.9746299405472344,0.1342057131679142,0.11611605,0.33902693,0.0957787,0.5509217
traffic,678,15764,16724,0.9743099400230638,0.2043687617227606,0.7788615,0.25498986,0.50906754,0.52478385
traffic,572,14612,14804,0.974055631082598,0.284211416360993,0.38413453,0.122636795,0.20479941,0.3019719
traffic,15,14292,16788,0.974028621061858,0.1963594714470967,0.11429596,0.6292268,0.119800806,0.62372196
traffic,207,14228,16724,0.9738602866193964,-0.0405522791434576,0.08872867,0.09314799,0.11503434,0.11945367
traffic,59,14804,16148,0.9738527139240428,0.296412435565307,0.10048008,0.07108569,0.07436657,0.0971992
traffic,173,14996,15188,0.9738406576559756,0.2510967247081793,0.02762866,0.118686676,0.05279374,0.093521595
