dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
CzeLan,sw_in,19148,19724,0.9998512518553592,0.2719389552626427,0.6707053,0.78286314,0.91305065,1.0252085
CzeLan,ppfd_in,19148,19724,0.9998512518553592,0.2719389552626419,0.6707053,0.78286314,0.91305065,1.0252085
CzeLan,swc_shallow,16716,16844,0.9992117979854386,-0.4370604858330055,0.79816675,2.1577249,0.99111223,2.3506703
CzeLan,ppfd_in,17932,19084,0.9990280559319732,0.2597812064578052,0.074341774,0.41954422,0.18908739,0.3047986
CzeLan,sw_in,17932,19084,0.9990280559319732,0.2597812064578061,0.074341774,0.41954422,0.18908739,0.3047986
CzeLan,ppfd_in,16140,16716,0.999023446033096,0.1806019137420351,0.017958641,0.119476795,0.22298717,0.12146902
CzeLan,sw_in,16140,16716,0.9990234460330952,0.1806019137420369,0.017958641,0.119476795,0.22298717,0.12146902
CzeLan,swc_shallow,16972,19724,0.998945410108448,-0.0329942162660486,1.4254985,0.12317324,1.5541368,0.0054650307
CzeLan,vpd,17292,18444,0.9989439557027264,0.0503065478432536,0.027596474,0.079325676,0.041273117,0.010456085
CzeLan,swc_shallow,16332,17484,0.9985078853863186,-0.0133549823299883,0.092865944,0.21329308,0.014754295,0.10567284
CzeLan,swc_shallow,17996,19404,0.9982731997234888,-0.113648306160434,2.4287128,1.3821278,2.4165978,1.3700128
CzeLan,swc_shallow,16140,17292,0.9982355184868652,0.0449440787926877,0.036359787,0.6357689,0.08450842,0.5149007
CzeLan,rh,17292,18444,0.9980110823545014,0.0349938343905001,0.08608055,0.3929348,0.1518302,0.32718515
CzeLan,ta,16652,18956,0.9979379886581452,-0.4244458390898131,0.0030317307,0.2636528,0.09113264,0.3517537
CzeLan,CZE_LAN_Cbe_Jt_16,17356,18508,0.9977636985128332,0.2207553227571863,0.15608883,0.14811611,0.050957203,0.042984486
CzeLan,swc_shallow,18124,18700,0.9976827810693664,0.2823719765360026,0.88571835,0.1663475,1.1927147,0.47334385
CzeLan,CZE_LAN_Cbe_Jt_16,16076,18956,0.9972303285234952,0.2668730153704,0.08026695,0.8963871,0.009716988,0.80640316
CzeLan,swc_shallow,16652,17676,0.9970351982793016,-0.1032530883227839,0.4010167,0.31641817,0.6928358,0.024599075
CzeLan,sw_in,17868,19020,0.9965498646428448,0.2414520775001709,0.35004616,0.6542487,0.23189211,0.53609467
CzeLan,ppfd_in,17868,19020,0.9965498646428448,0.2414520775001708,0.35004616,0.6542487,0.23189211,0.53609467
CzeLan,sw_in,17292,18444,0.9965298686638432,0.0753537314623287,0.12749004,0.055671692,0.1537385,0.22555685
CzeLan,ppfd_in,17292,18444,0.9965298686638429,0.0753537314623281,0.12749004,0.055671692,0.1537385,0.22555685
CzeLan,CZE_LAN_Cbe_Jt_16,17100,19532,0.9963933735805306,0.1780108600953724,1.321137,0.23252344,1.6592617,0.5706482
CzeLan,ta,18380,19660,0.9963098597362108,-0.0329389724092921,0.53274965,1.0882945,0.5603781,1.1159229
CzeLan,vpd,16076,18956,0.9962962529047882,-0.0523051669855552,0.63859224,0.99793005,0.45230818,0.811646
CzeLan,swc_shallow,19020,19852,0.996138558668996,-0.1374386725550961,0.1836338,0.2560768,0.1791563,0.2515993
CzeLan,CZE_LAN_Cbe_Jt_16,17804,18124,0.9960207056205304,0.2433423519379049,0.45262098,2.6093416,0.3424263,2.499147
CzeLan,sw_in,18700,19276,0.9960051522096266,0.1416082433007063,0.12325764,0.03161621,0.015223026,0.17009687
CzeLan,ppfd_in,18700,19276,0.9960051522096264,0.1416082433007059,0.12325764,0.03161621,0.015223026,0.17009687
CzeLan,swc_shallow,17420,18572,0.9959196651266842,-0.1190178634519321,0.95492506,0.25187492,1.2017431,0.005056858
CzeLan,vpd,16140,16716,0.9958830253005176,0.1745308267487378,0.4884491,0.46335888,0.11604452,0.090954304
CzeLan,swc_shallow,15948,18828,0.995787078080987,0.2714393626573026,0.492074,0.083003044,0.57137537,0.1623044
CzeLan,vpd,17164,18316,0.9957560656678944,0.0964706395169074,0.98108006,0.11219072,0.6004796,0.26840973
CzeLan,ppfd_in,17484,18636,0.9956230247936906,0.2046415474300183,0.26928854,0.23173237,0.5479703,0.046949387
CzeLan,sw_in,17484,18636,0.9956230247936904,0.2046415474300194,0.26928854,0.23173237,0.5479703,0.046949387
CzeLan,CZE_LAN_Cbe_Jt_16,17228,18828,0.9955771483863028,0.0183159210182785,0.13301325,1.7146673,0.06892538,1.5127287
