dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
ETTh1,main (swap dynamic),34,0.48846593,0.32472026,0.7058823529411765,0.015309422393329442
ETTh1,control (swap invariant),34,0.42457175,0.3204349,0.6176470588235294,0.09763269789982587
ETTm1,main (swap dynamic),496,0.38204283,0.47616956,0.40524193548387094,2.6304072344834216e-06
ETTm1,control (swap invariant),496,0.42335725,0.43863857,0.4939516129032258,0.5062068707886767
electricity,main (swap dynamic),1322,0.40061527,0.36277634,0.5370650529500757,0.00020671435877679605
electricity,control (swap invariant),1322,0.41487157,0.42406404,0.49924357034795763,0.7461449561623146
ETTh2,main (swap dynamic),39,0.41618997,0.5156711,0.358974358974359,0.04750477915149531
ETTh2,control (swap invariant),39,0.48807234,0.46326262,0.6153846153846154,0.30211415864687297
ETTm2,main (swap dynamic),365,0.59688735,0.6567459,0.4657534246575342,0.04157320013342954
ETTm2,control (swap invariant),365,0.64494514,0.61032844,0.5342465753424658,0.5168627172250535
weather,main (swap dynamic),1236,0.7279287,0.7310082,0.48462783171521034,0.5391736212825133
weather,control (swap invariant),1236,0.73744094,0.72468346,0.5,0.9559379109584968
exchange_rate,main (swap dynamic),42,0.74812573,0.84892935,0.42857142857142855,0.4799598372487708
exchange_rate,control (swap invariant),42,0.7997521,0.92639107,0.4523809523809524,0.3921185261519895
traffic,main (swap dynamic),7698,0.4703946,0.58335835,0.4256949857105742,1.1291222504918241e-70
traffic,control (swap invariant),7698,0.48924977,0.54307824,0.48467134320602756,3.108496128166377e-10
solar,main (swap dynamic),6841,0.671257,0.84896684,0.4405788627393656,2.6876770519516415e-28
solar,control (swap invariant),6841,0.70782095,0.81453204,0.4626516591141646,3.702720662202535e-11
PEMS08,main (swap dynamic),3614,0.46178412,0.4929073,0.48450470392916434,0.0143936650103324
PEMS08,control (swap invariant),3614,0.46756268,0.4799591,0.5199225235196459,0.4845113446711805
AQWan,main (swap dynamic),296,0.5270352,0.48196545,0.5641891891891891,0.060832046393303627
AQWan,control (swap invariant),296,0.5015031,0.47808698,0.5135135135135135,0.7513478101483105
Wind,main (swap dynamic),408,0.64890915,0.58550143,0.553921568627451,0.035586705442868495
Wind,control (swap invariant),408,0.65982205,0.5477459,0.5637254901960784,0.0014352743452331004
ZafNoo,main (swap dynamic),81,0.49970397,0.61798984,0.5061728395061729,0.5265608113399826
ZafNoo,control (swap invariant),81,0.50553757,0.6446236,0.41975308641975306,0.038962367141612116
CzeLan,main (swap dynamic),242,0.5020392,0.48986143,0.49173553719008267,0.9090734720967947
CzeLan,control (swap invariant),242,0.527986,0.47346175,0.5082644628099173,0.2589941697146446
Combined,main (swap dynamic),22714,0.54441017,0.6408298,0.45482962049837106,1.8606432049386232e-64
Combined,control (swap invariant),22714,0.5660377,0.61564296,0.4885092894250242,2.3340423386758794e-12
