dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
weather,p (mbar),46445,52013,0.9994698315213276,0.0637199952363459,2.5743737,0.19602966,2.7071862,0.32884216
weather,PAR (�mol/m�/s),43565,51053,0.9993313520178202,-0.3757032855701201,0.3740735,2.119083,0.05898142,2.5521379
weather,SWDR (W/m�),43565,45293,0.9992678527164458,0.0494203864970536,0.15919065,0.8344517,0.15205097,0.84159136
weather,p (mbar),51309,51693,0.9987971301943352,0.08760732420156,0.39806175,2.369451,0.21121597,2.1826053
weather,rho (g/m**3),44333,44717,0.9987628937377389,0.1360285887198773,0.96782017,1.5278535,0.9852638,1.5452971
weather,VPmax (mbar),44525,45677,0.9987423960997238,0.0080665409355706,0.4299016,0.17866135,0.54076576,0.2895255
weather,PAR (�mol/m�/s),47021,49325,0.9986075532585716,0.12146621945672,1.7382641,0.12650871,1.9834156,0.37166023
weather,max. PAR (�mol/m�/s),47085,51693,0.998539559208295,-0.0837750369741673,2.1237655,0.2417283,2.5129542,0.14746046
weather,T (degC),44525,45677,0.998526042458531,0.1239537665722569,0.30546236,0.6795845,0.4729581,0.84708023
weather,Tpot (K),44525,45677,0.9985227864565652,0.1268214426479674,0.30907965,0.6314001,0.5868559,0.90917635
weather,max. PAR (�mol/m�/s),47021,49325,0.9984847049697564,0.0900829516653684,2.21765,0.42020082,2.3152661,0.517817
weather,PAR (�mol/m�/s),51117,51693,0.99834726510722,-0.0537263662983685,0.21282387,0.032170296,0.1026659,0.07798767
weather,rho (g/m**3),44525,45677,0.9983439830938132,0.1633554066637765,0.57082224,0.9221096,0.6470208,0.9983082
weather,PAR (�mol/m�/s),44781,45933,0.9982866760260388,0.1612419710639488,0.063678265,0.34874725,0.18719149,0.0978775
weather,PAR (�mol/m�/s),44909,46637,0.998282588251038,0.1298758606290251,1.0508432,0.21165323,1.3178973,0.4787073
weather,p (mbar),43501,48301,0.998219422510768,0.1158502694667462,2.0723114,0.62373877,1.955781,0.50720835
weather,rho (g/m**3),44589,46637,0.9981425193128362,0.0573086047671266,2.1466923,0.10032034,2.0192375,0.027134418
weather,rh (%),44717,49325,0.9978261244962524,0.2716640456958237,0.18256044,0.4263196,0.04445362,0.28821278
