dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
AQWan,PRES,32212,32916,0.9867632186967332,-0.0398712287197428,0.24104786,0.080981255,0.2822895,0.1222229
AQWan,PM10,32084,34964,0.9866429716634352,-0.1114220678151865,0.60813475,0.48675537,0.65791893,0.4369712
AQWan,PRES,31956,34772,0.979372042300171,-0.1245493055532111,0.26143742,0.30795956,0.41961336,0.4661355
AQWan,DEWP,32212,32724,0.9753584950200064,0.0156814507959357,1.0152874,0.41762972,0.4537778,0.14387989
AQWan,DEWP,30740,34964,0.9745967949701944,0.2001462493298121,0.49349546,0.4685316,0.77915525,0.7541914
AQWan,PM2.5,33108,34324,0.9728425803219448,0.2129516726008173,0.10532856,0.24568367,0.05183506,0.4028473
AQWan,CO,32212,32340,0.97281680511613,0.0014063077161938,0.49848557,0.31608963,0.40015697,0.41441822
AQWan,PM2.5,31380,34772,0.9716925373846036,0.1134293544422648,0.5558486,0.009674549,0.32664394,0.2195301
AQWan,PRES,28884,32788,0.9706670102533148,-0.184957424912628,0.006854534,0.767962,0.18353605,0.5775714
AQWan,PM2.5,29076,33428,0.969840266966144,0.0872710522204932,0.7774892,0.18726826,0.9314556,0.03330183
AQWan,PM2.5,29588,31636,0.9689199433868436,-0.0676974870772013,0.048901558,0.122225285,0.22359562,0.052468777
AQWan,PM2.5,31828,32340,0.9687884169737784,0.2168772462432339,0.46621037,1.6951604,0.7547207,1.4066501
AQWan,NO2,28820,34580,0.9683984369080368,0.0953066746304557,0.64980316,0.7647662,0.6678996,0.74666977
AQWan,PM2.5,32084,34964,0.9683284324399982,0.046308060467045,0.5432458,0.12581491,0.436162,0.23289871
AQWan,DEWP,30164,33428,0.9678018270975768,0.0855131792700951,0.15069723,0.9759555,0.013045788,0.81221247
AQWan,DEWP,34260,34836,0.9672545535316674,0.0823635811964959,0.95866966,0.36322737,0.74155426,0.14611197
AQWan,CO,30740,34964,0.9666383963901396,0.2197892474522027,0.40979576,0.7580533,0.38749838,0.7803507
AQWan,TEMP,32852,34580,0.965818546449394,0.1539980179546287,0.16793156,0.19574809,0.20256996,0.16110969
AQWan,PM10,31700,32340,0.9625705764744452,-0.3133015932433064,0.23360968,1.1647954,0.48354673,0.91485834
AQWan,NO2,33428,34772,0.9619981157977388,-0.197721175247037,0.14914417,0.2410717,0.015285969,0.3749299
AQWan,CO,31572,32468,0.9617347635178064,0.1717458940550347,0.8953996,0.49121237,1.0633197,0.32329226
AQWan,PM10,29588,33428,0.9605033976472516,-0.2791685673697612,0.996294,0.042583942,1.178976,0.1400981
AQWan,CO,31380,32916,0.9604855148235304,0.1160588143760801,0.38721228,0.4244709,0.3761654,0.4355178
AQWan,DEWP,29140,31188,0.9603795243609984,0.1146201769849391,0.32625484,0.37076616,0.36615372,0.41066504
AQWan,WSPM,32788,32980,0.959702850927323,0.1343796594179757,0.26529837,0.32433796,0.4420867,0.14754963
AQWan,CO,32276,32596,0.9563461517298932,0.2532212199830025,0.20577765,0.05952549,0.4480281,0.59428024
AQWan,PRES,33492,33940,0.9551697381461552,0.2144151039096583,0.14408827,0.43508387,0.29718924,0.58818483
AQWan,DEWP,31380,32916,0.954989587155973,0.1531962480941159,0.29524422,2.062838,0.041543007,1.7260509
AQWan,PM2.5,32788,33172,0.954804151530691,-0.1522677821779459,0.17881155,0.70465326,0.054418564,0.82904625
AQWan,PRES,33108,34196,0.9538940679961816,-0.101807699081989,0.22505331,0.57438135,0.18251038,0.6169243
AQWan,RAIN,31956,32276,0.953507690477341,0.1424507205745474,0.07774258,0.050279617,0.0948143,0.06735134
AQWan,SO2,28628,33620,0.9524564623188206,0.1214337882795854,1.0016413,0.20644999,0.6454768,0.56261444
AQWan,SO2,28308,29652,0.9522256439550985,0.2588760327813042,0.3575194,0.14694381,0.21825814,0.28620505
AQWan,PM2.5,31956,33940,0.9512624332811542,0.2357637861110126,0.14338207,0.4071288,0.08658981,0.46392107
AQWan,CO,32724,33428,0.95086448825152,0.0695549394913356,0.46576214,0.3789544,0.58063316,0.2640834
AQWan,SO2,30420,34580,0.9497137187654372,-0.1076458220409073,1.0777555,0.08736515,1.2488937,0.25850344
AQWan,DEWP,30676,32276,0.949193109822548,0.2463909562852625,0.59322214,0.27128553,0.12010431,0.74440336
AQWan,PRES,30484,32724,0.9481385381401088,-0.5046092143275563,1.2701592,0.110806465,1.0060925,0.37487316
AQWan,DEWP,29588,34196,0.946815299450874,-0.2067276432988422,0.382823,0.80970097,0.1587553,1.0337687
AQWan,PRES,30548,34836,0.9468008130152956,-0.024637207466527,0.05312872,0.16579056,0.2597866,0.14712477
AQWan,O3,30100,30292,0.946688286151243,0.2880464387048996,0.69160104,0.6628578,0.4310496,0.9234092
AQWan,WSPM,30420,33684,0.9459809068938572,-0.0322113816792445,0.6357784,0.32618904,0.4796152,0.48235226
AQWan,RAIN,32020,33748,0.945387470918225,0.2267011198575805,3.3684473,1.3723669,3.512199,1.5161185
AQWan,SO2,29076,33428,0.9449773044702552,0.0179309521015021,1.1495132,0.29240513,1.2448187,0.19709969
AQWan,PM2.5,28308,32980,0.9445264127796764,0.2181658189256189,1.2694001,0.48495507,1.2087274,0.54562783
AQWan,CO,29716,29844,0.9433779685720836,-0.3947707551770809,0.7529769,0.24866867,1.0757995,0.0741539
AQWan,PRES,29588,32020,0.940872720784514,-0.4522463794586383,0.08858967,0.7026453,0.3260727,0.46516228
AQWan,DEWP,32788,32980,0.9407044584837326,0.2981132798067631,0.36421347,0.091142654,0.43548584,0.019870281
AQWan,WSPM,28244,30740,0.9401965873283026,0.2120037885269211,0.26580477,0.2261486,0.1736145,0.13395834
AQWan,NO2,29652,34452,0.93998465887199,-0.0693862248642698,0.3870983,0.4895668,0.738538,0.13812709
AQWan,PRES,31316,32596,0.9398510060667108,-0.2613965290549103,0.34133005,0.2656603,0.56256866,0.044421673
AQWan,PM10,31828,31956,0.939842942671914,0.1623913538267469,0.34371948,0.8760123,0.5011115,0.7186203
AQWan,PRES,31700,34708,0.9394238649542882,-0.1697633511536702,0.44617987,0.26320124,0.87834024,0.6953616
AQWan,PM2.5,28244,33492,0.9369596642289052,-0.0974792361467816,0.19295835,0.19040823,0.10831118,0.1108613
