dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTm1,MUFL,53760,56832,0.997881869715726,0.2491521926379818,0.2490685,0.31322312,0.3687122,0.19357944
ETTm1,HUFL,50688,51456,0.9976276154614444,0.2849497298508141,0.24509144,0.25977778,0.25209236,0.25277686
ETTm1,HUFL,53760,56832,0.9972961148768472,0.2371018588555365,0.2611444,0.27413797,0.31136155,0.22392082
ETTm1,MUFL,46656,48192,0.9968502593091184,0.2802718798484189,0.03149748,0.13033104,0.005466461,0.10430002
ETTm1,MUFL,50112,50688,0.9967659526808046,0.2446130508238951,0.015084267,0.20855355,0.063204765,0.16043305
ETTm1,HUFL,46080,46464,0.9966370084109912,0.0828368648517977,0.20003557,0.1793251,0.031421185,0.052131653
ETTm1,HUFL,46656,47616,0.9965244564825696,0.2631839992521018,0.058851242,0.12925935,0.07914829,0.1089623
ETTm1,MUFL,46080,46464,0.9964211953648824,0.0761324753844444,0.18993568,0.22973442,0.0768342,0.037035465
ETTm1,HUFL,52032,55872,0.9958421143714522,0.1139010516245526,0.27252555,0.4775753,0.22630405,0.5237968
ETTm1,MUFL,54144,56064,0.9958258009192322,0.1705840453419176,0.11953282,0.035597563,0.1193161,0.03538084
ETTm1,HUFL,47936,50624,0.9956002541428426,0.0431249601105824,0.32460856,0.5393398,0.51536417,0.34858418
ETTm1,MUFL,52032,55872,0.9954341439707748,0.111125771873221,0.2768631,0.5313225,0.2571838,0.5510018
ETTm1,MUFL,47936,49280,0.9950640274227996,0.1567893437786828,0.054730415,0.21475744,0.018998146,0.288486
ETTm1,LUFL,52992,53184,0.9945803604085622,0.2799178457925127,0.020947456,0.072767735,0.08173132,0.011983871
ETTm1,MUFL,47360,49088,0.9943488375111904,0.2611744609007431,0.23460245,0.2847576,0.392164,0.12719607
ETTm1,HUFL,50496,51264,0.9942930901578731,0.2161600235167694,0.3313942,0.7502234,0.47618365,0.60543394
ETTm1,MULL,48448,49408,0.9942177199811728,0.1725731202280933,0.14606047,0.426754,0.24893379,0.32388067
ETTm1,HUFL,46400,47552,0.993916962575362,-0.1073521334410043,0.041047096,0.0011744499,0.06218958,0.019968033
ETTm1,HUFL,46272,48768,0.9939111848722774,0.0348858241724693,0.39814186,0.37708712,0.3560109,0.41921806
ETTm1,HUFL,46208,47360,0.9935234457780858,-0.1088018431549999,0.023824692,0.061149597,0.11064005,0.07331514
ETTm1,HUFL,47232,48192,0.9933818473015112,0.2779440206283687,0.15599728,0.028113842,0.012871742,0.14075518
ETTm1,HUFL,51648,56256,0.9933166388674148,0.2040406808716377,0.32770753,0.23454833,0.26595306,0.2963028
ETTm1,MUFL,46272,56640,0.993045463112118,0.0486366704018434,0.25433254,0.23273325,0.273345,0.2137208
ETTm1,MUFL,51648,56256,0.9930232876229648,0.1435393552316948,0.34168386,0.34179354,0.3530221,0.3304553
ETTm1,HULL,48448,49408,0.9929343303760508,-0.1310758804558148,0.13853836,0.1149025,0.1169405,0.093304634
ETTm1,MUFL,50496,51264,0.9929332081909668,0.2571312864165405,0.43766522,0.82709694,0.5080092,0.75675297
ETTm1,LULL,53184,53568,0.9928813469434172,0.1604042651679987,0.21596336,0.20409966,0.3726406,0.04742241
ETTm1,LUFL,47296,54592,0.9928726614636396,0.2294110883934792,0.40086317,0.15384865,0.27656555,0.27814627
ETTm1,HULL,46144,46720,0.9924937731052312,0.0002738277585803,0.058452606,0.2652521,0.013892174,0.19290733
ETTm1,MUFL,48256,52096,0.9924254989776444,0.2808393416300278,0.22816086,0.26051188,0.32287264,0.1658001
ETTm1,OT,47616,55488,0.9922494157416382,0.1606571202228298,0.05546522,0.53242254,0.13896751,0.7268553
ETTm1,MUFL,48704,50624,0.9922165058181508,0.1484726850331921,0.32436824,0.5914891,0.5611236,0.3547337
ETTm1,HUFL,48704,51392,0.9919458077346376,0.1172297955370096,0.17800522,0.6644783,0.29362535,0.54885817
ETTm1,LULL,55296,57024,0.9918086851087788,0.1254281535796502,0.9388509,0.2572832,0.4654026,0.21616507
ETTm1,MUFL,46400,46976,0.9916737529977344,0.0011271052070353,0.09283495,0.49750185,0.2543373,0.3359995
ETTm1,HUFL,52800,56064,0.9914359217198564,0.2470454899391904,1.8624434,0.67866826,1.9000711,0.64104056
ETTm1,HUFL,46848,49152,0.9907232214181452,0.2001962109641573,3.8594403,0.7919972,3.7552156,0.8962219
ETTm1,MULL,50688,50880,0.9906067179870148,0.0767206086964966,0.04267311,0.22137094,0.15563631,0.023061514
ETTm1,MULL,48256,54208,0.990555047205665,0.041970176565391,0.1439085,0.09571314,0.056365967,0.10456133
ETTm1,MUFL,47232,49152,0.9903405399391132,0.1904832729119011,0.30487275,0.39210367,0.40524364,0.2917328
ETTm1,MUFL,53568,55680,0.9902625820524952,0.1192940686045172,0.8875587,4.144958,0.7216618,4.310855
ETTm1,HUFL,50944,54208,0.9901070494665464,0.2634648715413198,0.3267851,0.18679237,0.27119398,0.24238348
ETTm1,MULL,51136,52096,0.989950842548422,-0.1302005301434775,0.13391972,0.22711802,0.14495897,0.21607876
ETTm1,HULL,46336,47680,0.9898022094558074,-0.1191978130080243,0.09916878,0.4281764,0.18279171,0.34455347
ETTm1,MULL,46336,47680,0.9897416493181802,0.1760297746489508,0.12038088,6.389618e-05,0.22027016,0.099953175
ETTm1,MUFL,46848,48768,0.9896316936486794,0.2902652040601318,3.6314368,0.86874104,3.6056552,0.89452267
ETTm1,LUFL,46912,49024,0.9894742271282054,0.1131180219018943,0.10642862,0.18626666,0.055129528,0.23756576
ETTm1,MULL,49024,52480,0.9893644732122496,0.0620301809184414,0.27125263,0.24065733,0.15299797,0.358912
ETTm1,MULL,47488,49600,0.9892603840358776,0.0650187679422678,0.22838783,0.53452873,0.4442706,0.31864595
ETTm1,MUFL,56000,56384,0.989244848757032,0.1412743070113516,0.29304743,0.2665038,0.2517388,0.30781245
ETTm1,MUFL,48960,51456,0.9889443097607292,0.2807391909871117,0.45097017,0.61265635,0.622941,0.4406855
ETTm1,MUFL,50880,51072,0.988928263162674,0.2866556097378392,0.6237345,1.2402091,0.68115664,1.182787
ETTm1,HUFL,56000,56384,0.9887848629664324,0.2051063744246392,0.31477475,0.3113339,0.29650688,0.32960176
ETTm1,HUFL,49280,50432,0.9886212396619588,0.2888817897821642,0.31629014,0.23379087,0.21535468,0.33472633
ETTm1,HUFL,50112,52224,0.9885138950417236,0.2020925485227727,0.015083313,0.13550973,0.05290723,0.06751919
ETTm1,HUFL,53568,55680,0.9883229197802949,0.143195306645377,0.76413083,3.4827757,0.6153405,3.631566
ETTm1,HULL,50944,54208,0.988270942514281,0.2595419298852989,0.43550825,0.7880645,0.81995106,0.40362167
