dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTm2,OT,54016,56320,0.9989138113646686,0.2012196711767137,0.24427462,0.53645754,0.13974571,0.43192863
ETTm2,LULL,54144,56960,0.998516713865728,0.2364601125725998,2.2620764,0.8261595,2.1222143,0.6862974
ETTm2,OT,50368,56512,0.9980042248633644,0.2934542110298186,0.10226488,0.059749126,0.5902214,0.4282074
ETTm2,OT,47488,47872,0.997415845073283,0.1586899847525221,0.05456686,0.32544327,0.064172745,0.44418287
ETTm2,OT,49984,53632,0.996789006758549,0.1844959390002493,0.05062151,0.07477856,0.12449646,0.1486535
ETTm2,OT,48000,53568,0.9960156518426004,0.2030293011886217,0.3094206,0.08865738,0.32837725,0.10761404
ETTm2,OT,52864,54976,0.995918619560946,0.1986393601054941,1.081152,0.5465102,1.1939564,0.65931463
ETTm2,OT,50496,52416,0.9958030392516988,0.2753552297203792,0.26129103,1.9006243,0.14062262,2.0212927
ETTm2,OT,51904,56704,0.9952838470584174,0.1895493485715718,0.65151215,0.14851284,0.63454247,0.16548252
ETTm2,OT,47296,53824,0.9944151759820952,0.2319127252535049,0.08249712,0.019631863,0.42660856,0.32447958
ETTm2,MUFL,50304,54720,0.9922728510174276,0.2652081367073156,0.37165546,0.26917887,0.30545616,0.33537817
ETTm2,OT,54592,57536,0.9914831133153776,-0.0551033547253773,0.82357645,0.57358074,0.8949795,0.64498377
ETTm2,LULL,51392,52928,0.99135580413269,0.2465730681292814,0.076366425,0.34164953,0.13940239,0.55741835
ETTm2,OT,49664,54464,0.9906011761905568,0.2102734169683665,0.08842802,0.68076754,0.04944563,0.64178514
ETTm2,MUFL,52864,54400,0.9905993503534756,0.007626730939294,0.0414176,0.30098724,0.20128107,0.14112377
ETTm2,OT,47424,50688,0.9899296104109994,0.2875389537147937,0.19918394,0.18660879,0.24972343,0.1360693
ETTm2,OT,49728,53376,0.9897491043980304,0.2669561102993336,0.0046305656,1.3540282,0.10920954,1.2401881
ETTm2,MUFL,54976,56512,0.9895069503307916,0.0943653710791152,0.45465946,0.31303215,0.16942072,0.5982709
ETTm2,OT,46272,50304,0.9891230170320386,0.1850754831869936,0.59767246,0.15174627,0.785934,0.036515236
ETTm2,OT,50880,56256,0.9886463575404514,0.133800853985501,0.11829138,0.10506439,0.23814344,0.014787674
ETTm2,OT,50176,57088,0.9881487983894652,0.1763725749765472,0.04673481,2.012362,0.31794357,1.6476836
ETTm2,OT,47104,49600,0.9879779580946936,-0.0700375036153363,0.28213215,1.3105373,0.49617767,0.5322275
ETTm2,HUFL,52864,54592,0.9876388203068496,-0.0848527382636655,0.050608158,0.31477976,0.25831938,0.10706854
ETTm2,OT,55104,56448,0.9876242257007308,0.2145978920137469,1.6252317,0.109419346,1.3715963,0.36305475
ETTm2,OT,48064,49216,0.9874195663739964,0.1608698361994549,1.4104347,0.08712673,1.9578848,0.6345768
ETTm2,OT,49408,56896,0.9856316224791996,0.2898309323473735,0.59521484,0.3738861,1.093946,0.12484503
ETTm2,OT,52800,53952,0.9854673051301596,0.115503811125216,1.1943145,0.034914017,0.7275171,0.50171137
ETTm2,HULL,55552,55936,0.9848265852437018,-0.1728787115308072,0.9244671,0.21151924,0.59958553,0.11336231
ETTm2,HUFL,54784,56896,0.9846712483829748,-0.1608277527150354,0.6895995,0.31871462,0.3918643,0.020979404
ETTm2,MUFL,48832,51136,0.9846359305882972,0.2249639397324668,0.42498112,0.6113539,0.52672386,0.5096111
ETTm2,HUFL,48832,51136,0.983958183282212,0.1480065327061083,0.5177326,0.6165867,0.5720768,0.5622425
ETTm2,LULL,46208,47360,0.9837004969310292,-0.3218476309632795,1.0327744,0.17762709,1.0224485,0.187953
ETTm2,MUFL,50368,54208,0.9836732024827376,0.1990247399402826,0.9781585,0.4086113,0.87128925,0.5154805
ETTm2,OT,48576,54720,0.98360397091837,0.2231179171141428,0.17621231,0.5947795,0.15421057,0.2643566
ETTm2,OT,49472,49856,0.9827238162157632,0.238323547495339,0.10070467,0.35906363,0.21149683,0.6712651
ETTm2,HUFL,50560,54400,0.982326179579153,0.0495038784779204,0.0062708855,0.9099021,0.353343,0.5502882
ETTm2,OT,48448,50944,0.9819485199414144,0.2252199341894923,0.119690895,0.0964756,0.40423918,0.38102388
ETTm2,MUFL,51072,52992,0.9817906270554938,0.2366256137587951,0.7094412,0.22941685,0.6043072,0.33455086
ETTm2,OT,55168,55936,0.9814294823733576,0.2276914702818389,0.7677989,0.1707449,1.2519116,0.31336784
