dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
solar,124,48960,51264,0.9996341671606832,0.2464132393690358,3.2405438,0.27692842,3.6524973,0.6888819
solar,47,48896,50048,0.9996073785660564,0.0549634318725326,0.0050787926,0.029178143,0.0014104843,0.022688866
solar,106,43712,51776,0.9996008316724524,0.2040866848238627,0.097611904,2.147561,0.080610275,2.1305594
solar,20,44864,48320,0.9995392928348974,0.2747932032323137,0.047873497,0.16239452,0.07706785,0.13320017
solar,85,47168,48320,0.9995303524672348,0.2417293648745052,0.2616892,0.17488766,0.391788,0.044788837
solar,86,48384,49536,0.9995285594499628,0.2761742474825132,0.034157276,2.85924,0.084861755,2.740221
solar,107,42688,44416,0.9995215238449394,0.2774387619165535,0.03514719,0.061092854,0.16830301,0.26454306
solar,2,46080,46656,0.9995135383264888,0.2101509781052259,0.09607148,2.8454201,0.2984519,2.4508967
solar,35,43712,44288,0.9995062903397756,0.2653133348732903,0.45891857,0.2886815,0.6847191,0.06288099
solar,76,44288,50048,0.9994650926197164,-0.1229573093121474,0.0725832,0.18586397,0.15531015,0.26859093
solar,70,45440,47744,0.9994556266113088,0.1852677076006357,0.11314678,1.2371817,0.34402132,1.0063071
solar,124,42688,48448,0.9993632456152054,0.275576806186772,0.18895197,0.24065208,0.47142696,0.04182291
solar,80,46720,51904,0.9993528528696068,0.2937527910888301,0.85742664,0.12740326,1.1267653,0.39674187
solar,28,45504,48384,0.9993444834722548,0.2860595123728064,0.4855075,0.044964314,0.332479,0.1979928
solar,34,44928,46080,0.9993415372899896,0.2840940305624757,0.035679817,0.13435793,0.19867516,0.02863741
solar,95,44928,51840,0.99932929774961,0.2227845124201932,0.5247836,0.025201797,0.40514183,0.14484358
solar,103,43200,49536,0.9993272286161242,0.2854224637375124,0.079004765,1.8719378,0.116147995,1.676785
solar,69,43712,48320,0.9993062193741774,0.2509412960696138,0.41212082,0.33431864,0.641387,0.10505247
solar,71,47232,49536,0.9993051190926786,0.2504305323727651,0.23366356,1.6143761,0.32753754,1.5205021
solar,11,46144,51904,0.9993050006545716,0.2499904772845992,0.39797974,0.07936621,0.22610426,0.25124168
solar,31,43200,45504,0.9993010998360264,-0.0393974695290245,0.8488183,0.6044183,1.0947671,0.85036707
solar,128,43200,50112,0.9992612129296226,0.1315810796877095,0.7542043,2.430223,0.33608437,2.012103
solar,35,48960,50688,0.9992575136910092,0.2668140758836945,1.9008098,0.2939644,2.0427485,0.1520257
solar,90,44416,51328,0.999247935734077,0.2664470846589067,1.3305974,0.08243036,1.3329473,0.08008051
solar,125,42688,43264,0.9992390045758572,0.1675122426429176,1.0983589,0.017486334,0.93871737,0.17712784
solar,42,45376,49408,0.9992327440347284,0.0318513752281777,3.3964672,0.4766717,3.2039523,0.2841568
solar,112,44352,49536,0.9992193396893396,-0.0343154697017954,0.13518429,1.2880769,0.040454865,1.463716
solar,32,44288,48320,0.99921830717268,0.2510866596147719,0.13322115,0.015917778,0.17091846,0.021779537
solar,135,42560,48320,0.9992060243809314,0.2538577433249641,0.64904785,0.95942116,0.7839036,1.0942769
solar,58,46080,50688,0.9992052470221372,0.2622178035425708,0.5191159,1.9226594,0.016190529,1.419734
solar,OT,47104,48256,0.9991994529724016,0.1163697344676309,1.3731656,0.16029549,1.1630483,0.37041283
solar,38,50176,51328,0.9991869779850012,0.2309067202291578,0.87449455,0.18492699,0.67422724,0.015340328
solar,52,43712,47744,0.9991775719979148,0.2323889531974,0.057382107,0.51895,0.06583309,0.510499
solar,104,50176,51328,0.9991742539952222,0.2684594234554721,0.46012402,0.33649874,0.60913086,0.48550558
solar,72,46016,48320,0.9991596146287984,0.277617669222846,0.56533575,0.24722195,0.7244129,0.08814478
solar,52,44992,46720,0.9991564437835152,0.2618831439247327,0.16199589,0.25290728,0.026200294,0.44110346
solar,1,42688,47296,0.9991544892785964,0.2395900985533564,0.17076921,0.17027426,0.11979818,0.22124529
solar,105,43328,43904,0.9991444854742524,0.1873576239546424,0.56144524,0.4696622,0.8966818,0.13442564
solar,72,47744,50624,0.9991423952307168,0.2789473046019699,1.128573,0.2781396,1.2947369,0.11197567
solar,114,42048,50688,0.999129415784146,0.2939102942110634,0.13613081,0.94765806,0.23584986,0.847939
solar,124,43264,43840,0.9991194029284776,0.0391088087800993,0.4794569,1.315522,0.38208342,1.4128954
solar,131,42624,46080,0.9991036412877112,0.2133299507207756,0.45453787,0.31771564,0.6537852,0.118468285
solar,85,44352,47232,0.9991034286416236,0.2160460832841346,0.044528008,0.15048599,0.07471466,0.12029934
