dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
CzeLan,sw_in,19148,19724,0.9998512518553592,0.2719389552626427,0.4699192,0.94808435,0.5182972,0.99646235
CzeLan,ppfd_in,19148,19724,0.9998512518553592,0.2719389552626419,0.4699192,0.94808435,0.5182972,0.99646235
CzeLan,swc_shallow,16716,16844,0.9992117979854386,-0.4370604858330055,0.92960596,2.20753,0.56075907,1.8386831
CzeLan,ppfd_in,17932,19084,0.9990280559319732,0.2597812064578052,0.14696741,0.67865086,0.21105719,0.32062626
CzeLan,sw_in,17932,19084,0.9990280559319732,0.2597812064578061,0.14696741,0.67865086,0.21105719,0.32062626
CzeLan,ppfd_in,16140,16716,0.999023446033096,0.1806019137420351,0.14831114,0.028170109,0.06245327,0.1825943
CzeLan,sw_in,16140,16716,0.9990234460330952,0.1806019137420369,0.14831114,0.028170109,0.06245327,0.1825943
CzeLan,swc_shallow,16972,19724,0.998945410108448,-0.0329942162660486,1.3706336,0.02790451,1.3440561,0.054481983
CzeLan,vpd,17292,18444,0.9989439557027264,0.0503065478432536,0.048648834,0.021602154,0.0013766289,0.07162762
CzeLan,swc_shallow,16332,17484,0.9985078853863186,-0.0133549823299883,0.07312536,0.08504391,0.021602154,0.009683609
CzeLan,swc_shallow,17996,19404,0.9982731997234888,-0.113648306160434,2.4746785,1.1439176,2.338345,1.0075841
CzeLan,swc_shallow,16140,17292,0.9982355184868652,0.0449440787926877,0.09357691,0.53776026,0.2560625,0.37527466
CzeLan,rh,17292,18444,0.9980110823545014,0.0349938343905001,0.02868843,0.42707014,0.13277388,0.3229847
CzeLan,ta,16652,18956,0.9979379886581452,-0.4244458390898131,0.051036358,0.24467945,0.22973204,0.52544785
CzeLan,CZE_LAN_Cbe_Jt_16,17356,18508,0.9977636985128332,0.2207553227571863,0.101334095,0.26294374,0.09298706,0.06862259
CzeLan,swc_shallow,18124,18700,0.9976827810693664,0.2823719765360026,1.3063598,0.53337765,1.0755763,0.30259418
CzeLan,CZE_LAN_Cbe_Jt_16,16076,18956,0.9972303285234952,0.2668730153704,0.509151,1.114327,0.18641758,0.79159355
CzeLan,swc_shallow,16652,17676,0.9970351982793016,-0.1032530883227839,0.34950876,0.16473389,0.59449005,0.0802474
CzeLan,sw_in,17868,19020,0.9965498646428448,0.2414520775001709,0.61599445,0.81992626,0.5454879,0.7494197
CzeLan,ppfd_in,17868,19020,0.9965498646428448,0.2414520775001708,0.61599445,0.81992626,0.5454879,0.7494197
CzeLan,sw_in,17292,18444,0.9965298686638432,0.0753537314623287,0.04785061,0.15805244,0.042955875,0.15315771
CzeLan,ppfd_in,17292,18444,0.9965298686638429,0.0753537314623281,0.04785061,0.15805244,0.042955875,0.15315771
CzeLan,CZE_LAN_Cbe_Jt_16,17100,19532,0.9963933735805306,0.1780108600953724,1.171617,0.12607956,1.4780631,0.43252563
CzeLan,ta,18380,19660,0.9963098597362108,-0.0329389724092921,0.91040945,1.3215938,0.52919817,0.9403825
CzeLan,vpd,16076,18956,0.9962962529047882,-0.0523051669855552,0.6946683,0.990962,0.32856703,0.62486076
CzeLan,swc_shallow,19020,19852,0.996138558668996,-0.1374386725550961,0.1054616,0.27353144,0.10280228,0.27087212
