dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
Wind,pred_temp,43547,47579,0.9959699061149372,0.0045023144632812,0.34654236,0.33225965,0.051626205,0.037343502
Wind,pred_pressure,44763,47067,0.9955717080074624,0.2546013250618999,0.68953705,1.5476198,0.50110054,1.7360563
Wind,pred_temp,40603,43867,0.9952803593762208,0.2385661096775837,0.5466752,0.54244184,0.28675222,0.8023648
Wind,pred_humidity,42011,46235,0.9940948174536656,0.2450103868893345,0.20718813,0.31454706,0.20690727,0.3142662
Wind,pred_temp,43099,45403,0.9939561611367064,0.293351798159829,0.1941843,0.023944378,0.111692905,0.05854702
Wind,pred_w_speed,43675,47515,0.9939100225562256,0.2685975426278047,0.92223406,0.5567746,0.76457024,0.3991108
Wind,pred_temp,45275,48347,0.9937258802911256,0.2287018547234738,0.4125967,0.0816412,0.32577944,0.16845846
Wind,pred_pressure,44891,45275,0.9935651949852028,0.2277249857193617,0.04448223,2.7901115,0.069199085,2.7653947
Wind,pred_temp,41819,47195,0.9933949523148228,0.1558135620192495,0.88692427,0.2928157,0.9865289,0.3924203
Wind,pred_humidity,39643,41179,0.9931914478012526,0.2607003690353096,0.48775816,1.1595793,0.41089535,1.0827165
Wind,pred_temp,44059,46939,0.9929053286967444,0.1302572608817584,0.016076088,1.4173594,0.21815109,1.1831322
Wind,pred_temp,42779,48155,0.992725389581968,0.2729064440915247,0.2583313,0.5760822,0.053470135,0.37122107
Wind,pred_w_dir,39387,45403,0.9915259595633524,0.2688062627075139,0.52130604,1.7127142,0.45767355,1.6490817
Wind,pred_temp,39707,47963,0.9912496705573334,0.2420136685640173,0.530581,0.13632488,0.54419327,0.12271261
Wind,pred_humidity,40667,48347,0.9906056505323124,0.070352366183335,0.26199865,0.73201656,0.095478535,0.8985367
Wind,pred_pressure,41307,41499,0.9905093761770108,0.0605649485195164,0.33364487,3.2246714,0.022841454,2.913868
Wind,pred_w_speed,40923,47451,0.9903777694368296,0.23187804446286,0.23116112,0.31564903,0.80424833,0.25743818
Wind,pred_temp,42203,44123,0.9902336106114766,0.1723607331840861,0.06957531,0.11439562,0.3539896,0.3988099
Wind,pred_temp,39899,46619,0.9899964167056828,0.152726477206883,0.41021872,1.5753975,0.04195738,1.2071362
Wind,pred_humidity,42587,47579,0.989900094647088,0.2879474922206119,1.205266,0.28525543,0.9150286,0.0049819946
Wind,pred_temp,45083,46427,0.9897838489003598,-0.0952830100177591,0.3307762,0.23024178,0.48488235,0.076135635
Wind,pred_w_dir,40091,45787,0.9897028676556996,0.236325330589871,0.52002716,0.78605366,0.55825806,0.82428455
Wind,pred_w_dir,43739,48155,0.989035314712682,0.229918706334076,1.9633641,1.0649085,1.8849673,0.9865117
Wind,pred_pressure,40347,48603,0.9885185815363506,0.2069517177071136,2.1088433,0.36560965,2.1677604,0.3066926
Wind,pred_w_dir,42139,45659,0.9880950993549038,0.0285685871823529,0.05224037,0.72491026,0.022812366,0.6498575
Wind,pred_w_dir,40475,44571,0.98805277061054,0.0823205027447459,0.0760355,0.36773443,0.73602057,0.44432163
Wind,pred_temp,42587,43355,0.9878701516138894,0.0525201870542771,0.21702099,0.120372295,0.23232937,0.105063915
Wind,pred_pressure,44379,45339,0.9878195241350116,0.0709211270307688,0.5586128,0.850894,0.53016186,0.87934494
Wind,pred_temp,41563,41947,0.9877526306668598,0.1481294239930812,0.11313963,0.30966663,0.050063133,0.24659014
Wind,pred_pressure,44187,47835,0.9876846929626304,-0.0962622926106096,0.20315647,0.16806507,0.2510414,0.12018013
Wind,pred_temp,40859,47003,0.9876526590839724,0.2091976882403149,0.66728115,0.08851147,0.8464303,0.26766062
Wind,pred_w_dir,43035,47323,0.9871201016775114,-0.1500099057225525,0.018561363,4.325656,0.14013696,4.4472313
Wind,pred_temp,44827,47515,0.9871149762911288,-0.0993427177856484,1.3951702,0.028754711,1.4673276,0.04340267
Wind,pred_pressure,41371,43291,0.9866647864550396,0.2287853457817728,1.2912402,0.7502494,1.2737141,0.73272324
Wind,pred_humidity,40219,44059,0.9862814148861736,-0.150017360570057,0.37173367,0.4088168,0.7063527,0.07419777
Wind,pred_pressure,39963,48219,0.9861498018958624,0.1437387845553694,0.86320686,0.5976577,0.95850706,0.5023575
Wind,pred_temp,41627,42011,0.9861142856071266,-0.0736865824046853,0.02889061,0.46492958,0.20168638,0.63772535
Wind,pred_humidity,40603,40987,0.9857996729132796,0.0686891406367442,0.094797134,0.764328,0.1722002,0.68692493
Wind,pred_w_dir,42395,42843,0.985448263466826,0.1752633032995002,1.2452106,0.63762283,1.3101177,0.7025299
Wind,pred_w_dir,46619,46811,0.9852301265101686,-0.2139979753881881,0.16268396,0.6217489,0.21136904,0.9958019
Wind,pred_humidity,42715,43099,0.9850027944783456,0.0480051649453189,0.23782396,0.8442688,0.2824912,0.88893604
Wind,pred_w_speed,40283,47131,0.9846197171734208,0.0218117086309272,1.2073665,0.058362007,1.1170411,0.03196335
Wind,pred_pressure,43931,44507,0.9844858013546228,0.2154335498121228,1.4086471,0.26895523,1.200501,0.060809135
Wind,pred_temp,42971,46043,0.984208680256352,0.2954500059995394,0.22566557,0.6891165,0.045259476,0.41819143
Wind,pred_temp,45659,47387,0.9841432421513178,0.1304473503505108,0.008915424,0.6370802,0.043582916,0.58458185
