dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
electricity,317,22644,23988,0.9934825917354172,0.1635762629298413,0.10827446,0.3618338,0.2900102,0.18009806
electricity,113,25204,26100,0.990702096503514,0.1131264419546761,0.06202507,2.2753978,0.4939723,1.8434505
electricity,129,22132,26164,0.990583571930088,0.2447972418914887,0.3477497,0.092236996,0.3158884,0.06037569
electricity,317,21172,23860,0.99043771054289,0.2803463668865412,0.12161207,0.02392912,0.1657269,0.020185709
electricity,295,21364,23860,0.9897910989698556,0.2971736070634108,0.13092375,0.32846475,0.2114284,0.24796009
electricity,317,22068,25140,0.9897826732570092,0.2975211184723756,0.12492323,0.008742332,0.20392895,0.070263386
electricity,246,21748,22708,0.9881491026684364,0.2158178764072747,0.108426094,0.13195062,0.11914778,0.1426723
electricity,103,23476,26164,0.9874954295025858,0.2939452438121518,0.51738214,0.8679712,0.5569298,0.8284235
electricity,87,23988,25332,0.985698549916772,0.0760049130147148,0.34158754,0.1929245,0.31422758,0.16556454
electricity,287,21492,23988,0.9843358601054162,0.2842065306325933,0.51941013,0.31663823,0.4300344,0.40601397
electricity,300,24820,25396,0.984124475369404,0.2415777521846374,0.2871201,0.1308825,0.26108408,0.15691853
electricity,103,22132,24820,0.9833204944404657,0.1909891333910588,0.18724012,0.0002155304,0.17361069,0.013844967
electricity,317,21940,22900,0.981720617521776,0.2642304339373102,0.024394035,0.06849289,0.001034975,0.09185195
electricity,287,21876,23604,0.9805126191785808,0.2378047684723397,0.8036213,0.6504502,0.55938387,0.89468765
electricity,317,24628,25588,0.9802209112353576,0.2316028020656191,0.1882081,0.28319454,0.19894266,0.27245998
electricity,300,25076,25844,0.9790919601417946,0.2947324200295645,0.5506284,0.55372095,0.536108,0.56824136
electricity,46,22644,23220,0.9789935264525332,0.2972481231262157,0.07291436,0.04955268,0.11710811,0.09374642
electricity,129,22004,26036,0.9786160482716978,0.2631927210223933,0.3842249,0.03225994,0.38932228,0.03735733
electricity,287,21428,22772,0.97806745351798,0.2894872659817189,0.56864095,0.19521523,0.34312105,0.42073512
electricity,87,22132,24820,0.9771813802303676,0.2819731502307036,0.23116016,0.22997832,0.097877264,0.36326122
electricity,25,21300,23988,0.9770760018754174,0.1435904230314218,0.18160534,0.15703845,0.27832103,0.25375414
electricity,9,24180,25716,0.9768741478004268,0.1892141748258888,0.03451252,0.5386083,0.04044032,0.46365547
electricity,103,23284,25972,0.976151222259024,0.2256131401877322,0.062357426,0.23760605,0.012127161,0.18737578
electricity,275,22708,23476,0.9751037137668098,0.1743738223684481,0.15538383,0.16454601,0.21038699,0.10954285
electricity,9,21300,23988,0.974787817411335,0.245271811435902,0.40264177,0.082751036,0.559227,0.23933625
electricity,168,23412,24948,0.9746055922689454,0.2928948213068644,0.24191451,0.010499716,0.17959118,0.051823616
electricity,151,24308,25460,0.9743439948987668,0.2976929175346995,0.09657097,0.15047622,0.052099705,0.19494748
electricity,287,21812,24116,0.974199640783685,0.2541001244179625,0.3409121,0.54873514,0.2209611,0.66868615
electricity,287,22900,25396,0.9741739604748818,0.2818462370875482,0.2026391,0.4267342,0.1598382,0.3839333
electricity,66,23732,25076,0.9740633897886318,0.2729040949321039,0.32295465,0.110842586,0.50486326,0.2927512
electricity,174,24692,26036,0.9736141212246452,0.2735235681344113,0.045244455,0.0131931305,0.044309855,0.014127731
electricity,129,22836,25524,0.9735306478748224,0.1172573691513469,0.23661017,0.049955845,0.26741028,0.01915574
electricity,95,21364,25780,0.9728913168334292,0.29188283134466,0.09105134,0.29396915,0.10627484,0.27874565
electricity,103,21876,24756,0.972593432924617,0.2605609325878583,0.19866061,0.21510983,0.22924685,0.18452358
electricity,119,22132,25396,0.9718686214994868,0.2709462298199571,0.66938233,0.9070163,0.82692957,0.74946904
electricity,317,23412,25140,0.9718677841483204,0.2969591712374023,0.18012905,0.10867071,0.29605293,0.00725317
electricity,129,23348,24692,0.9717127598761992,0.0207728745242148,0.21292567,0.09795499,0.22482872,0.109858036
electricity,184,23540,24692,0.9712640349712444,0.2517425122739827,0.16851926,0.121157646,0.17701244,0.11266446
electricity,105,21364,25012,0.9708466503832636,0.2970489810128018,0.6502168,0.44048238,0.5719402,0.518759
electricity,27,21492,22836,0.9706060096660456,0.2575096936576501,0.13627625,0.038606405,0.10257602,0.07230663
electricity,307,21620,25076,0.9705105833494804,0.2031287516387983,0.07114649,0.5517576,0.046817303,0.5274284
electricity,112,23220,25140,0.970486172202232,0.2375939871674715,0.27422702,0.08156693,0.37890232,0.18624222
electricity,87,22068,24948,0.9698598884969668,0.2504737098801857,0.2501657,0.44932604,0.20582938,0.49366236
electricity,133,21172,25204,0.9694088638887356,0.1489337562749722,0.016108751,0.4388163,0.17757773,0.6002853
electricity,99,21300,25332,0.9693993516851356,0.2987567158739466,0.947788,0.63298774,0.88112926,0.6996465
electricity,184,22644,25908,0.9692900983416748,0.2636018147514014,0.19853377,0.10213566,0.017612219,0.0787859
electricity,300,24948,25140,0.969140517876512,0.1911844479629965,0.041835785,0.08088565,0.009922266,0.11279917
electricity,103,22004,24692,0.9689797892733896,0.2246253001928921,0.27433658,0.027575254,0.2183218,0.08359003
electricity,307,22004,24884,0.968889132310132,0.186807060551802,0.30794978,0.6268208,0.17468858,0.4935596
electricity,18,23092,24628,0.9680413521131368,0.2604505382180785,0.16944933,0.08785248,0.3344195,0.25282264
electricity,307,22132,26164,0.9675504762380194,0.2777374593773739,0.56251526,0.3308711,0.63969135,0.4080472
electricity,127,24692,26036,0.967422718762227,0.193896138466707,0.09284377,0.3589344,0.040026903,0.22606373
electricity,OT,22324,25012,0.9672782563625164,0.2570776440214177,0.39989758,0.519557,0.49884176,0.4206128
electricity,307,21236,22964,0.9672109340462992,0.2111437604950995,0.24659598,0.29832733,0.15373528,0.20546663
electricity,295,21748,25204,0.9670351591629937,0.2873825959448052,0.41419244,0.37668705,0.44374943,0.34713006
electricity,103,22068,23604,0.9666101122231427,0.2324997337358761,0.07992768,0.28035378,0.049874067,0.3104074
electricity,287,23220,25908,0.9664358713968844,0.242041435525261,0.2723887,0.46867085,0.0878849,0.28416705
electricity,319,23028,25716,0.9659741664302324,0.2612261484182184,0.11896658,0.0049846172,0.1385293,0.014578104
electricity,159,24692,25844,0.9657905573079264,0.2686626594526312,0.07367873,0.16930938,0.10587382,0.13711429
electricity,129,22452,25140,0.9655208692148448,0.2882365641977635,0.23798203,0.13550234,0.4582882,0.3558085
electricity,36,21876,22260,0.9651993023095962,0.2466639906220795,0.08432269,0.06349063,0.03204751,0.011215448
electricity,307,21748,22324,0.9650155856576352,0.2943943912174326,0.026609898,0.33245015,0.2207973,0.13826275
electricity,118,23284,25780,0.9649900340504068,0.1489206367899027,0.29243731,0.5037408,0.023936987,0.23524046
electricity,25,22452,23796,0.964739010085316,0.1703155698129261,0.29020214,0.2963395,0.4303224,0.15621924
electricity,255,22644,25908,0.9640425382555464,0.2489246119083522,0.23370957,0.4962499,0.3034234,0.42653608
electricity,192,22324,25972,0.9636588444035904,0.2882077944077681,0.02214861,0.37534726,0.11719036,0.2803055
electricity,317,23860,24244,0.9630520701499308,0.2310223366996063,0.054621935,0.1299367,0.07165313,0.1129055
electricity,295,22324,25972,0.9629059402194045,0.280580842767639,0.12572455,0.1619618,0.07499242,0.21269393
electricity,307,21172,25204,0.9626186985598394,0.1636544091571623,0.2658012,0.45505023,0.20369911,0.39294815
electricity,119,22580,24884,0.9623669101361249,0.296159513127964,0.45894146,0.3626871,0.3991785,0.42245007
electricity,307,21812,25268,0.962189942309534,0.2665586487629878,0.07919407,0.7673032,0.15405822,0.6924391
electricity,129,21492,24180,0.9621793193939958,0.2913206961545208,0.26152897,0.49366975,0.34828973,0.406909
electricity,310,21108,22452,0.9621767452383888,0.1312631965650054,0.1616975,0.5747514,0.17870271,0.5917566
electricity,255,25460,26228,0.9612278724013724,0.2946752280478164,0.57455194,0.115932584,0.39238286,0.29810166
electricity,25,22132,24820,0.9599307398446169,0.1817760325923237,0.077941656,0.05231476,0.16679311,0.036536694
electricity,307,21556,24436,0.9596497676899448,0.0589595471390756,0.3887174,0.4705572,0.44970512,0.5315449
electricity,247,23540,24692,0.9592172042766064,0.2875217471747388,0.23764098,0.19161928,0.15232205,0.2769382
electricity,295,21300,23796,0.9586595859139504,0.2989482061200965,0.1324575,0.14646196,0.111582756,0.3905022
electricity,104,23348,26036,0.9585042934469528,0.1178446783548647,0.4871831,0.45110583,0.453938,0.48435092
electricity,245,21940,24244,0.9583274264005434,0.1945033168538397,0.18059707,0.107554436,0.17495608,0.11319542
electricity,119,25332,26100,0.958310150786078,0.1948539067841248,0.28825426,0.29698586,0.25787592,0.3273642
electricity,56,22580,24692,0.9581822388408728,0.2004122582492811,0.412642,0.012738466,0.6863303,0.26094985
electricity,317,22196,22964,0.958173386663989,0.2277757620379825,0.13753152,0.18292046,0.11552739,0.20492458
electricity,295,21684,25332,0.9576922347197812,0.1415125508917341,0.11517453,0.21155572,0.09140921,0.23532104
electricity,255,25652,26036,0.9576482249655202,0.1914049646057111,0.3136176,0.1251477,0.2734475,0.16531777
electricity,9,23860,25204,0.957507186120066,0.2900343894563126,0.5800817,0.022203922,0.55595994,0.046325684
electricity,287,22004,23540,0.957459896748574,0.1756791355307196,0.12520862,0.6598228,0.31526518,0.46976626
electricity,300,21364,25780,0.9572453535383612,0.1479560553575052,0.6582818,0.10648775,0.26652527,0.28526878
electricity,300,22068,25908,0.9572369100163072,0.286826298278807,0.20634437,0.2840774,0.12975454,0.20748758
electricity,83,21492,24372,0.9569921719571036,0.294989240567898,1.3069062,1.0516756,1.3374908,1.021091
electricity,287,21300,25524,0.95670524440366,0.2810350310239396,0.15289164,0.29639387,0.10755777,0.34172773
electricity,18,23604,24756,0.95661965058535,0.1673769165081762,0.3731799,0.3167311,0.18277895,0.12633014
electricity,109,21364,23668,0.9565944838293748,0.2832707465001906,0.4353032,0.15886855,0.49797916,0.2215445
electricity,127,24180,25524,0.9564234210336392,0.2526391302148223,0.15005946,0.14606905,0.03257537,0.03656578
electricity,155,22516,25972,0.9562774530319468,0.1657220647522264,0.1204505,0.38523686,0.04749322,0.31227958
electricity,125,22132,22516,0.955814083765523,0.2799251008748168,0.4040599,0.33393288,0.37504554,0.36294723
electricity,112,21556,25204,0.9551094070734196,0.278383916659371,0.032174706,0.25589073,0.02514708,0.2488631
electricity,310,21236,22388,0.9548538968546968,0.1481367076258665,0.27683735,0.47951782,0.27303195,0.47571242
electricity,307,22772,25844,0.9547284891371562,0.2363789564656908,0.37961173,0.5949124,0.45329356,0.66859424
electricity,307,21044,26228,0.9546395399930534,0.235780301405462,0.24684334,0.33371413,0.4713738,0.5582446
electricity,255,23284,25780,0.954508968908788,0.2130194278501171,0.12405789,0.56638443,0.4207703,0.26967204
electricity,103,22260,24564,0.9544861064037558,0.2376736537054961,0.047817945,0.27447903,0.13500619,0.36166728
electricity,18,21428,24884,0.9544394637278912,0.2105773469925334,0.24153209,0.050144315,0.39801967,0.10634327
electricity,6,22964,23348,0.9541725250623428,0.1249745930621434,0.10719347,0.40686512,0.5830798,0.28340816
electricity,6,23220,23412,0.9541481310259828,0.1685548200696807,1.3233209,0.41691923,0.7355547,0.17084694
electricity,104,23540,24692,0.9541366116548666,0.2310375464725554,0.6324992,1.3477705,0.72830725,1.2519624
electricity,307,21876,24372,0.9538314590306676,0.2710337423200391,0.0391078,0.7284112,0.08291936,0.77222276
electricity,66,21428,25652,0.9537720954567308,0.2948751527644256,0.5872185,0.13662541,0.85453486,0.13069093
electricity,17,24116,24500,0.9536723509482564,0.2697096157004251,0.0037021637,0.07155514,0.2413745,0.16611719
electricity,4,22388,23732,0.9535089421245354,0.2965271576154502,0.48718524,0.23727417,0.35929608,0.10938501
electricity,18,21620,24116,0.9534319859059572,0.2914415934072126,0.19989932,0.12433088,0.26823092,0.19266248
electricity,41,22580,25652,0.9531577335289008,0.2361604118524259,0.15358818,0.111479044,0.2236507,0.18154156
electricity,115,24308,25140,0.9530815047292756,0.0918764831507039,0.0755136,0.555814,0.3408594,0.97218704
electricity,9,22132,23476,0.9529440986254786,0.190325496878959,0.18914557,0.61941767,0.30615675,0.5024065
electricity,117,21172,25204,0.9528643967791092,0.1885053327718463,0.5054178,0.7309594,0.58053184,0.6558454
electricity,36,22452,23796,0.952663373999468,0.2749297504844713,0.04998684,0.06509781,0.15637374,0.04128909
electricity,83,23924,25460,0.9525128351525742,0.1999593936056093,0.22865534,0.44788122,0.09811437,0.31734025
electricity,295,21108,21876,0.9521880186495846,0.0798200087496422,0.0012991428,0.17484975,0.11690807,0.29045868
electricity,295,21172,25012,0.9520692040958044,0.2728369655986123,0.012701511,0.15405536,0.07073712,0.096019745
electricity,104,22964,23988,0.951905062870058,-0.2367726604794646,0.9903617,0.7552986,0.8891609,0.85649943
electricity,86,22644,26100,0.9518436648748936,0.2607485330172242,0.8407192,0.70779383,0.6604898,0.88802326
electricity,133,21620,25652,0.9518409808110344,0.2940103533130856,0.18320775,0.5911789,0.11220908,0.66217756
electricity,83,24180,25524,0.951446400996635,0.1873188815817998,0.20515132,0.1550765,0.2307558,0.18068099
electricity,18,23284,24820,0.9509747330443424,0.2616133664413242,0.113826394,0.20311081,0.1551069,0.24439132
electricity,118,23988,24180,0.9507763413706672,0.1045248599566504,0.70827675,0.6403458,0.7985947,0.55002785
electricity,66,23924,24692,0.9500697466242318,0.2728082383943749,0.27294624,0.10585749,0.34854496,0.030258775
electricity,246,21812,24692,0.9500093729648252,0.2468771221622509,0.10648036,0.17883575,0.011828423,0.2734877
electricity,239,24372,24756,0.9499037555514404,0.2829546658797818,0.40941095,0.20730877,0.43011236,0.18660736
electricity,87,22260,25908,0.949833169947908,0.2156969051616616,0.05224967,0.302953,0.08962917,0.3403325
electricity,143,23412,25908,0.949797822108426,0.2691796551652182,0.019200325,0.09977889,0.060994387,0.1799736
electricity,317,22004,24692,0.9496049716270678,0.26965321289268,0.025655031,0.11740875,0.018487453,0.12457633
electricity,9,21556,24244,0.9495567042953044,0.1545040041478201,0.62935305,0.094064474,0.5767479,0.14666963
electricity,299,21812,24116,0.9492400602341632,0.2990015878149429,0.20556843,0.55570006,0.2760694,0.4851991
electricity,129,21620,25652,0.9491804665683778,0.1467405338581252,0.17026734,0.22864199,0.10818052,0.16655517
electricity,158,23988,24756,0.9484741100623828,0.2475390309739054,0.3274219,0.13434982,0.29834485,0.16342688
electricity,103,23028,24372,0.9481813277522334,0.1527474287595197,2.5965426,0.904932,2.35531,1.1461647
electricity,131,22260,23220,0.9479123868226964,0.2296641575444474,0.18369484,0.24116278,0.38326263,0.44073057
electricity,6,22132,22708,0.9477408336454012,0.2954364969322387,0.19156408,1.0068502,0.24549699,1.4439113
electricity,59,22196,23732,0.9474550862843716,0.2758611242160285,0.2025367,0.085082054,0.47193646,0.35448182
electricity,300,23284,25588,0.9471620069150652,0.2947059354236963,0.495533,0.30383658,0.5607383,0.23863125
electricity,14,21556,24820,0.9471074541280814,0.2971282340167508,0.17850697,0.023461103,0.3248061,0.12283802
electricity,115,21172,21748,0.9470687862362857,0.284623960317342,0.6053157,0.9313235,1.3813148,0.15532446
electricity,133,21300,25332,0.9463319219029314,0.1577147933111238,0.028731585,0.43600893,0.23973203,0.70447254
electricity,155,23092,26164,0.946315237340678,0.2875833417802078,0.12816906,0.36741614,0.04416585,0.28341293
electricity,128,23796,26100,0.9462654363321928,0.2663938969046039,0.4760809,0.44725168,0.48888552,0.43444705
electricity,128,22516,23860,0.9462374800282076,0.241810129496656,0.2089665,0.11339688,0.18841767,0.1339457
electricity,239,24052,25012,0.9461242950897376,0.0344284830069209,0.6173465,0.29553223,0.58885074,0.32402802
electricity,317,23348,24692,0.94581775498391,0.2404465385456242,0.022090197,0.05572748,0.123386145,0.045568466
electricity,161,21684,22644,0.945683550705008,0.2908581231713643,0.17294621,0.25373006,0.17444134,0.25223494
electricity,121,23028,25076,0.9456467837914376,0.2748964720794109,1.2571554,0.47444773,0.8608837,0.87071943
electricity,27,24180,25716,0.9455078082235724,0.2804844721816565,0.31006432,0.20439303,0.28621554,0.18054426
electricity,307,22196,25460,0.945468359365695,0.1398288684940742,0.5375297,0.21756291,0.54825807,0.22829127
electricity,130,21492,25524,0.9453375862744666,0.0131923431114992,0.010748386,0.2581544,0.048633337,0.29603934
electricity,287,21748,23476,0.9452713876372224,0.2892420690055688,0.36665154,0.83800054,0.59329915,0.6113529
electricity,31,21108,25332,0.9452301320020796,0.1425030296012647,0.39743567,0.11924791,0.42581606,0.09086752
electricity,67,21940,24820,0.945088082985486,0.1794515073494758,0.23250794,0.10848582,0.26511526,0.14109313
electricity,129,22196,24884,0.9448971622157248,0.1164319637007102,0.51415443,0.31912613,0.56792855,0.37290025
electricity,79,21044,23924,0.94465562540617,0.2784082968945824,0.20497894,0.48907554,0.34023547,0.353819
electricity,110,23412,23988,0.9445179252286804,0.2852542582412378,0.6800636,0.22842169,0.58562124,0.32286406
electricity,298,22452,25972,0.9442431586923198,-0.1052086123201934,1.3196306,0.6285162,1.3540368,0.6629224
electricity,255,22196,25844,0.944214523880048,0.0828050761044407,0.12882423,0.21008515,0.032608747,0.30630064
electricity,194,23732,26036,0.9440671351037004,0.279800855800023,0.22424567,0.21890342,0.2261554,0.21699369
electricity,66,24628,26164,0.943906253690276,0.2860537527528586,0.49581468,0.21844971,0.25580895,0.02155602
electricity,81,21620,24820,0.9439049812594834,-0.0337187116042186,0.42617512,0.56166625,0.07576299,0.21125412
electricity,104,22196,22388,0.9438606307711832,0.0860155910239816,0.09398317,0.13290763,0.0073912144,0.03153324
electricity,125,22068,22452,0.9430173733792792,0.2606683447804337,0.4637618,0.39046907,0.33033276,0.5238981
electricity,81,23860,24244,0.94291499348233,0.2209706693346896,0.87986994,1.2935734,0.4567008,1.7167425
electricity,104,21748,23156,0.9429028575838118,0.2022953149690403,0.350852,0.26167393,0.2954564,0.20627832
electricity,4,23284,25780,0.9428859140305956,0.0846689645721903,0.012248516,0.58165526,0.021089315,0.54831743
electricity,239,24116,24692,0.9425819195895871,0.1260886299425544,0.27733147,0.2178359,0.31532383,0.17984354
electricity,148,22708,26164,0.9424800928597972,0.2490700525118208,0.029795647,0.2212975,0.047199488,0.23870134
electricity,303,21620,25460,0.9417696913720176,0.2636918093555471,0.49633503,0.57175195,0.44066954,0.62741745
electricity,134,22132,24820,0.9417681232349846,0.2239173339796892,0.16032648,0.012002468,0.40207195,0.25374794
electricity,194,25524,25716,0.9413946199979958,0.2857307897336948,0.015936255,0.008672595,0.016057014,0.023320675
electricity,307,21108,25332,0.9413738578794923,0.2048358062995009,0.20566726,0.2714982,0.25171113,0.31754208
electricity,84,25780,25972,0.9413174694482758,0.1445026436939257,0.56129193,0.602257,0.71880007,0.44474888
electricity,307,22068,25140,0.9413033610686848,0.0259619972308721,0.4261384,0.6530323,0.33619237,0.5630863
electricity,122,21108,25716,0.9411948349331796,-0.1996586176140936,1.948523,0.5262594,1.1649084,1.309874
electricity,192,23092,25012,0.9410221477510466,0.252669343016338,0.14040089,0.19771576,0.098460436,0.15577531
electricity,112,23284,25972,0.9408522586191636,0.2867412531719688,0.32272112,0.015069604,0.38534677,0.07769525
electricity,23,23540,24692,0.9408429741144068,0.2946357121194847,0.09618032,0.05162549,0.13262904,0.08807421
electricity,56,21492,24180,0.940716209782978,0.2741476188129052,0.3354057,0.1766665,0.34203994,0.18330073
electricity,132,22324,25012,0.9405666837073792,0.2863519429858575,0.050047636,0.25285745,0.14594173,0.34875154
electricity,129,21684,25716,0.9400437386449492,0.241975326173866,0.3440528,0.31981587,0.31076503,0.2865281
