dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
exchange_rate,1,6839,7479,0.973859046516094,-0.1563026430778434,0.030448914,0.21038675,0.03867817,0.27951384
exchange_rate,6,6839,7031,0.9717449221059218,0.2816110905968605,0.23511457,2.3942995,0.18872118,2.440693
exchange_rate,5,6135,6455,0.9697409467944564,-0.2535554951179389,0.3081627,1.7015662,0.0031027794,2.0066261
exchange_rate,6,6775,7479,0.968230511697888,0.1309899525180775,0.10099411,2.0452933,0.087076664,1.8572226
exchange_rate,5,6711,6775,0.9679169142992312,0.0346759708527972,1.1016636,0.18075085,1.1427045,0.13970995
exchange_rate,2,6391,7479,0.9646547091935728,0.0694893779979117,0.22601557,1.2179322,0.17533398,1.1672506
exchange_rate,6,6135,6455,0.9642639968687726,0.0335511969462637,0.7826934,1.0547156,0.71561956,0.9876418
exchange_rate,0,6711,6839,0.9637878544675654,0.2138286148625744,1.8078461,0.077132225,1.6070437,0.1236701
exchange_rate,2,6839,7159,0.9613654466766371,0.1250468682728861,0.31914568,0.3401761,0.030125141,0.62919664
exchange_rate,4,6327,6711,0.959137409592412,0.1228866099955801,0.5178261,2.1383219,0.6462922,2.266788
exchange_rate,OT,6711,6967,0.9555353128365932,0.2952083366147289,1.183958,1.0662246,1.1030164,0.9852829
exchange_rate,4,7159,7351,0.9535676903563828,0.0092053637519282,0.35122776,0.31479836,0.72281647,0.056790352
exchange_rate,4,6519,7479,0.95100741975158,-0.2754725864565962,0.92166185,1.1338701,1.0672989,1.2795072
exchange_rate,6,6199,7351,0.9509828946948548,0.0859299659129257,0.5205312,0.40429115,0.2710576,0.15481758
exchange_rate,1,6583,6647,0.9504238919569256,0.1662543807983698,0.14119673,0.47632027,0.03253317,0.5849838
exchange_rate,0,6455,7031,0.9494123997334512,0.1089354354376746,0.3835287,0.21870422,0.105349064,0.059475422
exchange_rate,1,6711,6775,0.9358074701966952,0.2929274999239574,0.8447919,1.1157985,0.9111438,1.1821504
exchange_rate,1,6135,7159,0.9270645364910504,0.1853560244327608,0.8300605,1.5268488,0.88919735,1.5859857
exchange_rate,OT,6519,7095,0.9269456081448936,0.1724656860491853,1.6072664,0.60634327,1.4128704,0.41194725
exchange_rate,5,6199,6967,0.9228796776180956,-0.0234167554893831,0.055969715,1.488883,0.19142723,1.3534255
exchange_rate,3,6263,7351,0.9181808032074512,0.0980335467138605,0.33365345,0.78769875,0.07110977,1.0502424
exchange_rate,1,6199,6327,0.9085439689526956,0.1156090131525195,0.28378773,0.29002905,0.061650276,0.63546705
exchange_rate,3,6199,6839,0.9085220346736412,0.1272687865318969,2.0271401,0.2938547,2.441329,0.12033415
exchange_rate,OT,6199,7351,0.9030742116716732,-0.000298802521763,0.013228416,0.97766876,0.13834238,0.8525548
exchange_rate,3,6711,6775,0.8992488454084759,0.1662747088864165,1.5189481,0.1960845,1.4606228,0.13775921
exchange_rate,4,6775,7031,0.896730719345707,0.0751212871096756,0.2346139,1.3299623,0.13388062,0.96146774
exchange_rate,5,6071,7479,0.89469175219343,-0.0194695424988701,0.5974221,0.015674114,0.8868933,0.30514526
exchange_rate,2,6135,6775,0.8941122344670628,0.0768785566458817,1.3792152,0.5002942,1.2509637,0.37204266
exchange_rate,2,6583,7287,0.8793730144585672,0.0109886296605378,0.10022354,1.4941583,0.13646269,1.4579191
exchange_rate,OT,6263,7031,0.8762063506455214,0.1248888001054268,1.7195244,0.5773473,1.7648077,0.6226306
exchange_rate,0,6135,6775,0.8751667218831907,0.0371327623437772,0.75932217,0.12829018,0.93885946,0.05124712
exchange_rate,OT,7159,7223,0.8699110360136691,-0.0571315134117285,0.05412197,0.24768877,0.099257946,0.4010687
exchange_rate,4,6071,7287,0.8630337494419986,0.2730854595343866,1.7118301,1.2364988,1.7379131,1.2625818
exchange_rate,4,6199,6903,0.8587627622257568,-0.0778039760193814,0.8320613,2.3881278,0.9163995,2.472466
exchange_rate,6,6647,7287,0.8562671225412988,-0.00949512783764,0.00983429,1.1093354,0.012373924,1.0871272
exchange_rate,5,7287,7351,0.8526103574991687,-0.1153348954243999,2.0222335,0.10619116,2.424148,0.29572344
exchange_rate,0,7223,7351,0.8524034532847556,0.0130941433402482,0.5170922,0.5288596,0.63729763,0.649065
exchange_rate,OT,7287,7415,0.836352738678291,0.1198826355358442,1.3240623,0.7578263,0.9612217,0.39498568
exchange_rate,2,6263,6455,0.8289203981045494,-0.1677448434926357,0.9942689,0.12157011,0.93769884,0.17814016
exchange_rate,3,6327,6455,0.8233637335768226,-0.0516074152779821,0.52111435,0.78566027,0.47641134,0.74095726
exchange_rate,5,6263,7415,0.8190227292706624,0.1238555413718774,1.1234503,1.3815532,1.0543737,1.3124766
exchange_rate,3,7159,7223,0.8006913213001692,-0.1271271254220133,0.13321114,0.049075603,0.06773329,0.11455345
