dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
traffic,184,14676,15636,0.9898279735865702,0.2672260859982149,0.042629957,0.11304045,0.0963335,0.166744
traffic,842,14292,15636,0.9895226746459266,0.276955677177435,0.045002222,0.011488676,0.058814526,0.02530098
traffic,524,14228,16724,0.9889976693321328,0.1499348475945832,2.500955,1.0392878,2.4085088,1.1317341
traffic,280,14676,15636,0.9887605219509398,0.2701891379885531,0.09253502,0.06663227,0.15936875,0.133466
traffic,107,14100,15444,0.9882868884972108,0.2879844859871916,0.18782282,0.1948297,0.17681885,0.20583367
traffic,593,14164,15508,0.9877047784981976,0.2709257827304954,0.033398867,0.05256629,0.0717752,0.014189959
traffic,535,14036,15764,0.9873742632962996,0.2536396120544841,0.0582695,0.05542457,0.08257389,0.031120181
traffic,101,14676,15636,0.9865853300382617,0.1732946632072339,0.1470313,0.02122879,0.20141244,0.03315234
traffic,62,14484,15828,0.9864198624388884,0.2765356202833676,0.14391065,0.21221566,0.23396277,0.122163534
traffic,708,14484,15828,0.9859956645761578,0.2845084172331571,0.06003046,0.04911709,0.057301283,0.04638791
traffic,836,14804,16148,0.9856879145372044,0.0298014775244322,0.33777857,0.18253517,0.17180395,0.3485098
traffic,619,14164,15508,0.9855310404891964,-0.0040701079176424,0.017794132,0.006402254,0.02344513,0.012053251
traffic,167,14804,16148,0.9854166531943892,0.2409934884477868,0.10631132,0.034953833,0.10601115,0.035254
traffic,756,14228,14612,0.9852955626018716,0.2826541629556884,0.21777415,0.116974115,0.15727115,0.17747712
traffic,112,14100,15444,0.9848594631985408,0.2061981606557212,0.16476393,0.23959708,0.16480374,0.23955727
traffic,748,14612,16724,0.9840223527398818,0.2812616930185663,0.19762802,0.3785646,0.2320733,0.3441193
traffic,788,14676,16980,0.983292511888811,0.2702201826782063,0.008413553,0.3148222,0.007340908,0.31589484
traffic,124,14484,15828,0.9830711815468116,0.2064082626902987,0.13027287,0.078715324,0.16419458,0.044793606
traffic,738,14676,16980,0.9826932220915195,0.2596915105756853,0.093165636,0.49031675,0.2766435,0.8601259
traffic,256,16148,17300,0.9823641915600824,0.0671866132765973,0.07969713,0.089122295,0.09520078,0.10462594
traffic,203,14676,15828,0.9822661765888514,0.1188226357758956,0.328578,0.47427082,0.16401148,0.63883734
traffic,296,14420,16724,0.982081220977042,0.2505080604013391,0.30294204,0.25588727,0.2709427,0.28788662
traffic,564,14484,15828,0.9813992367953072,0.2617982211576485,0.14079332,0.2230835,0.15730715,0.20656967
traffic,547,14164,16852,0.9810842732559092,0.2782944961169741,0.0130980015,0.5756279,0.08815265,0.5005733
traffic,161,14164,15508,0.9809829731943404,-0.1145315478377364,0.13269138,0.2230885,0.19328642,0.16249347
traffic,788,14036,14612,0.9808440379529044,0.2798780472322308,0.30171227,0.1965177,0.19210172,0.30612826
traffic,452,14420,16724,0.9804951705213512,0.2602779549131335,0.3447299,0.3220229,0.34873366,0.31801915
traffic,37,15828,16980,0.9802102230055862,0.2026855426858653,0.0922482,0.6732316,0.2901461,0.4753337
traffic,508,14484,15828,0.9799399485489032,0.2301385777521998,0.28494954,0.3110094,0.4452753,0.15068364
traffic,633,14484,15828,0.9796407581515886,0.2017197155197481,0.035003424,0.04073119,0.044523,0.05025077
traffic,636,14100,16212,0.9795009838688644,0.2946693156936205,0.24810672,0.025613785,0.21046591,0.063254595
traffic,215,14100,15252,0.9793826908315764,-0.0629725434870688,0.35716915,0.365196,0.24195766,0.48040748
traffic,277,14164,16852,0.9792308480276752,0.2919468565110603,0.07023311,0.003492117,0.35639977,0.28267455
traffic,679,16148,17300,0.9790678862250068,0.0295604084294774,0.1324544,0.22039461,0.0300982,0.3227508
traffic,179,16276,17044,0.9789981376279238,0.217459189048334,0.17259121,0.20820713,0.12626457,0.25453377
traffic,244,14676,17172,0.9788204716563164,0.2307728685474714,0.32049012,0.007580042,0.23460436,0.07830572
traffic,278,14484,17172,0.9787789888560228,-0.0392136503964632,0.16947365,0.11959076,0.07805443,0.02817154
traffic,607,14100,16404,0.978308804139745,0.274762386181103,0.10890412,0.20129228,0.16780281,0.14239359
traffic,601,14484,15828,0.978006861394528,0.2031372776485974,0.35136294,0.42624164,0.3609054,0.41669917
traffic,860,14804,16148,0.9780023927535524,0.2737152904422826,0.037136078,0.09575844,0.043904305,0.08899021
traffic,716,14676,16788,0.977993115692696,0.2381069986046588,0.0901382,0.13512182,0.12396932,0.16895294
traffic,756,14804,16148,0.9779681622209716,0.2045887614090027,0.17379689,0.17830992,0.11507273,0.23703408
traffic,132,14484,16980,0.9779486200451374,0.2054111950840931,0.27441216,0.45985222,0.19636393,0.53790045
traffic,258,14932,17428,0.9778659229587296,0.1691365532359658,0.14716697,0.5483508,0.34062266,0.3548951
traffic,735,14676,16980,0.9776803718625644,0.1827096946253664,0.026441097,0.40296555,0.1027596,0.47928405
traffic,388,14484,17172,0.9775714336716153,0.252082550682929,0.06267691,0.20743942,0.0743227,0.19579363
traffic,778,14484,16980,0.9775444431403624,0.2712938516177978,0.2818687,0.5689292,0.34008718,0.5107107
traffic,678,14100,16404,0.9775079879984384,0.1914561522659587,0.40528727,0.083363056,0.36728668,0.12136364
traffic,530,15892,17044,0.977259567416987,0.2632899177253436,0.39394903,0.518214,0.8658662,0.046296835
traffic,159,14292,14676,0.9772534637350684,0.2437056618503599,0.66120267,0.6989267,0.78045225,0.5796771
traffic,587,16148,17300,0.9772340014867013,0.1205345762627256,0.45201588,0.19602633,0.28739572,0.3606465
traffic,730,14228,16724,0.9770348939664628,0.2241250858491195,0.38026,0.454144,0.2431395,0.5912645
traffic,709,15956,16148,0.9769691260787882,0.0722644970412188,0.7491436,0.46974516,0.45947754,0.7594112
traffic,530,15124,17428,0.9768338356424068,0.2520968033786342,0.2686429,0.09408069,0.69112134,0.32839775
traffic,836,14932,15892,0.9767898825514226,0.2475570861803919,0.31051457,0.36725903,0.34061944,0.33715415
traffic,748,14548,14740,0.976755718623386,-0.21732384086556,0.008635998,0.034692764,0.008671284,0.017385483
traffic,764,14676,16596,0.9767292365632928,0.2642973772550796,0.40539384,0.56949747,0.44647694,0.52841437
traffic,575,16660,17236,0.9765241449757788,0.2636443598927835,0.37175488,0.43873763,0.41307092,0.3974216
traffic,740,14100,15060,0.9763929577023972,0.226561503215401,0.030216694,0.16611981,0.071588755,0.064314365
traffic,494,14164,16852,0.9762666563483948,0.1729598157631492,0.01700735,0.53255904,0.04484296,0.5047234
traffic,747,14868,15444,0.9761856534378368,0.2434809169171083,0.42421484,0.44228554,0.46867156,0.39782882
traffic,530,15060,15636,0.9761719197163704,0.179433835268088,0.14067757,0.117362976,0.25816786,0.00012731552
traffic,8,15060,16788,0.9759690665207168,0.175012579761023,0.2479837,0.13847542,0.20649958,0.0969913
traffic,247,15828,16980,0.9758272279772984,0.0991797053533334,0.3556962,0.59458137,0.2177217,0.73255587
traffic,77,14484,17172,0.975712940810289,0.0528882867945198,0.10354972,0.2601514,0.10326767,0.26043344
traffic,530,15252,16020,0.9754389799347932,0.1706453505291211,0.55543196,0.4742658,0.55453265,0.47516513
