dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
weather,p (mbar),46445,52013,0.9994698315213276,0.0637199952363459,2.5597682,0.0053448677,2.5121183,0.052994728
weather,PAR (�mol/m�/s),43565,51053,0.9993313520178202,-0.3757032855701201,0.10695076,2.3561702,0.040678024,2.2085414
weather,SWDR (W/m�),43565,45293,0.9992678527164458,0.0494203864970536,0.23208046,1.1128259,0.03305912,0.91380453
weather,p (mbar),51309,51693,0.9987971301943352,0.08760732420156,0.28850794,2.473381,0.008750439,2.1761227
weather,rho (g/m**3),44333,44717,0.9987628937377389,0.1360285887198773,0.90609646,1.1759105,0.78839445,1.0582085
weather,VPmax (mbar),44525,45677,0.9987423960997238,0.0080665409355706,0.36772776,0.16591692,0.46036386,0.25855303
weather,PAR (�mol/m�/s),47021,49325,0.9986075532585716,0.12146621945672,2.0050726,0.29189825,2.0777507,0.36457634
weather,max. PAR (�mol/m�/s),47085,51693,0.998539559208295,-0.0837750369741673,2.7288108,0.47035694,2.4474945,0.18904066
weather,T (degC),44525,45677,0.998526042458531,0.1239537665722569,0.22037458,0.67395544,0.15813732,0.6117182
weather,Tpot (K),44525,45677,0.9985227864565652,0.1268214426479674,0.16616917,0.8116493,0.13283634,0.7783165
weather,max. PAR (�mol/m�/s),47021,49325,0.9984847049697564,0.0900829516653684,2.2962365,0.50747347,2.283554,0.49479103
weather,PAR (�mol/m�/s),51117,51693,0.99834726510722,-0.0537263662983685,0.2719679,0.06026268,0.2698965,0.0581913
weather,rho (g/m**3),44525,45677,0.9983439830938132,0.1633554066637765,0.5631552,1.5026221,0.4792776,1.4187446
weather,PAR (�mol/m�/s),44781,45933,0.9982866760260388,0.1612419710639488,0.11093569,0.09267807,0.048479557,0.25209332
weather,PAR (�mol/m�/s),44909,46637,0.998282588251038,0.1298758606290251,1.3315005,0.58405304,0.763731,0.016283512
weather,p (mbar),43501,48301,0.998219422510768,0.1158502694667462,1.8076415,0.27962208,1.6496058,0.12158632
weather,rho (g/m**3),44589,46637,0.9981425193128362,0.0573086047671266,2.2703824,0.61628294,2.066978,0.4128785
weather,rh (%),44717,49325,0.9978261244962524,0.2716640456958237,0.11809635,0.15576649,0.3118453,0.27417517
weather,p (mbar),49901,50349,0.9976902466498414,0.1608700528672035,1.031198,1.6808457,1.2780709,1.9277186
weather,PAR (�mol/m�/s),45229,49261,0.9976856062665616,0.0561079564601929,0.13420391,2.3972588,0.3797822,2.642837
weather,Tpot (K),44333,44717,0.9976492459998956,0.1093310400971192,0.7223463,1.0928698,0.73381996,1.1043434
weather,SWDR (W/m�),51117,51693,0.9975909141938972,-0.1687550490218876,0.18299389,0.054656506,0.113078594,0.350729
weather,max. PAR (�mol/m�/s),45485,46637,0.9975533311892062,0.1407705415463384,0.7306509,0.08141613,0.3790145,0.27022028
weather,p (mbar),44333,52397,0.9975360354665784,0.0647201627658495,0.39222288,1.8323069,0.33906794,1.7791519
weather,p (mbar),46125,49965,0.997534887018418,0.2777457674959991,0.24848461,1.1592855,0.41366673,1.3244677
weather,p (mbar),47085,48813,0.9975184410454904,0.196086791997055,0.37622023,0.43873453,0.54650784,0.60902214
