dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
AQWan,PRES,32212,32916,0.9867632186967332,-0.0398712287197428,0.13951588,0.10230017,0.19514036,0.15792465
AQWan,PM10,32084,34964,0.9866429716634352,-0.1114220678151865,0.66820717,0.50948,0.54880714,0.62888
AQWan,PRES,31956,34772,0.979372042300171,-0.1245493055532111,0.21064615,0.1417737,0.81383705,0.7449646
AQWan,DEWP,32212,32724,0.9753584950200064,0.0156814507959357,0.27147055,0.14597368,0.046258926,0.07923794
AQWan,DEWP,30740,34964,0.9745967949701944,0.2001462493298121,0.1920414,0.55026245,0.34955883,0.7077799
AQWan,PM2.5,33108,34324,0.9728425803219448,0.2129516726008173,0.05628872,0.20515919,0.07232857,0.33377647
AQWan,CO,32212,32340,0.97281680511613,0.0014063077161938,0.57220554,0.23273945,0.47115278,0.3337922
AQWan,PM2.5,31380,34772,0.9716925373846036,0.1134293544422648,0.5736742,0.093177795,0.4902382,0.17661381
AQWan,PRES,28884,32788,0.9706670102533148,-0.184957424912628,0.4047451,0.3530078,0.46677876,0.29097414
AQWan,PM2.5,29076,33428,0.969840266966144,0.0872710522204932,0.98482466,0.10226393,0.66713953,0.41994905
AQWan,PM2.5,29588,31636,0.9689199433868436,-0.0676974870772013,0.08560181,0.27064466,0.17770195,0.17854452
AQWan,PM2.5,31828,32340,0.9687884169737784,0.2168772462432339,0.497797,1.846458,0.79206276,1.5521922
AQWan,NO2,28820,34580,0.9683984369080368,0.0953066746304557,0.6364131,0.790215,0.62047815,0.80614996
AQWan,PM2.5,32084,34964,0.9683284324399982,0.046308060467045,0.3152609,0.36498642,0.18336153,0.49688578
AQWan,DEWP,30164,33428,0.9678018270975768,0.0855131792700951,0.09736967,0.62095785,0.19817781,0.721766
AQWan,DEWP,34260,34836,0.9672545535316674,0.0823635811964959,0.7729845,0.044226646,0.9017701,0.084558964
AQWan,CO,30740,34964,0.9666383963901396,0.2197892474522027,0.28033638,1.1176724,0.31175232,1.0862565
AQWan,TEMP,32852,34580,0.965818546449394,0.1539980179546287,0.15634966,0.2118876,0.20873857,0.15949869
AQWan,PM10,31700,32340,0.9625705764744452,-0.3133015932433064,0.24845505,1.1197295,0.49665022,0.87153435
AQWan,NO2,33428,34772,0.9619981157977388,-0.197721175247037,0.10730696,0.4819212,0.067173004,0.44178724
AQWan,CO,31572,32468,0.9617347635178064,0.1717458940550347,0.86776686,0.5263872,1.0181255,0.37602854
AQWan,PM10,29588,33428,0.9605033976472516,-0.2791685673697612,0.7457409,0.1906619,0.75132465,0.18507814
AQWan,CO,31380,32916,0.9604855148235304,0.1160588143760801,0.3507309,0.4104557,0.27489853,0.48628807
AQWan,DEWP,29140,31188,0.9603795243609984,0.1146201769849391,0.67834806,0.67735815,0.60847855,0.60748863
AQWan,WSPM,32788,32980,0.959702850927323,0.1343796594179757,0.21807766,0.3746209,0.3812251,0.21147346
AQWan,CO,32276,32596,0.9563461517298932,0.2532212199830025,0.12458944,0.27602005,0.0023431778,0.39826632
AQWan,PRES,33492,33940,0.9551697381461552,0.2144151039096583,0.19477749,0.4828062,0.4238763,0.711905
AQWan,DEWP,31380,32916,0.954989587155973,0.1531962480941159,0.3765626,2.306899,0.036322594,1.9666591
AQWan,PM2.5,32788,33172,0.954804151530691,-0.1522677821779459,0.043838024,0.81970215,0.095656395,0.7678838
AQWan,PRES,33108,34196,0.9538940679961816,-0.101807699081989,0.20624733,0.63575315,0.20769358,0.6343069
AQWan,RAIN,31956,32276,0.953507690477341,0.1424507205745474,0.07079029,0.036938667,0.13281822,0.0989666
AQWan,SO2,28628,33620,0.9524564623188206,0.1214337882795854,0.82530785,0.42168808,0.8817582,0.3652377
AQWan,SO2,28308,29652,0.9522256439550985,0.2588760327813042,0.33017254,0.044903994,0.09029508,0.28478146
AQWan,PM2.5,31956,33940,0.9512624332811542,0.2357637861110126,0.16129589,0.5063734,0.069067955,0.73673725
AQWan,CO,32724,33428,0.95086448825152,0.0695549394913356,0.2992568,0.8164978,1.092535,0.023219585
AQWan,SO2,30420,34580,0.9497137187654372,-0.1076458220409073,1.2918406,0.1748929,2.1180682,0.65133476
AQWan,DEWP,30676,32276,0.949193109822548,0.2463909562852625,0.2187686,0.6515517,0.48275948,0.38756084
AQWan,PRES,30484,32724,0.9481385381401088,-0.5046092143275563,1.1651516,0.11024666,0.9727402,0.30265808
AQWan,DEWP,29588,34196,0.946815299450874,-0.2067276432988422,0.22414207,0.8513341,0.2571926,0.81828356
AQWan,PRES,30548,34836,0.9468008130152956,-0.024637207466527,0.48012352,0.17367601,0.23592424,0.07052326
AQWan,O3,30100,30292,0.946688286151243,0.2880464387048996,0.43505836,0.96903944,0.71175003,0.69234776
AQWan,WSPM,30420,33684,0.9459809068938572,-0.0322113816792445,0.49668717,0.39414692,0.55305505,0.33777905
AQWan,RAIN,32020,33748,0.945387470918225,0.2267011198575805,2.9778018,0.7787323,3.266675,1.0676055
AQWan,SO2,29076,33428,0.9449773044702552,0.0179309521015021,1.1310081,0.15250683,1.1299009,0.15361404
AQWan,PM2.5,28308,32980,0.9445264127796764,0.2181658189256189,1.1749907,0.50005436,1.3970854,0.2779596
AQWan,CO,29716,29844,0.9433779685720836,-0.3947707551770809,1.1121721,0.010762215,1.1106982,0.009288311
AQWan,PRES,29588,32020,0.940872720784514,-0.4522463794586383,0.10290003,0.63618135,0.23676062,0.77004194
AQWan,DEWP,32788,32980,0.9407044584837326,0.2981132798067631,0.34853983,0.010635853,0.43411255,0.07493687
AQWan,WSPM,28244,30740,0.9401965873283026,0.2120037885269211,0.20070267,0.16572809,0.23544407,0.2004695
AQWan,NO2,29652,34452,0.93998465887199,-0.0693862248642698,0.49092555,0.39191675,0.39559293,0.48724937
AQWan,PRES,31316,32596,0.9398510060667108,-0.2613965290549103,0.4191637,0.17166424,0.37707233,0.21375561
AQWan,PM10,31828,31956,0.939842942671914,0.1623913538267469,0.34147263,0.99697065,0.47811556,0.8603277
AQWan,PRES,31700,34708,0.9394238649542882,-0.1697633511536702,0.5760288,0.42369795,0.65350914,0.50117826
AQWan,PM2.5,28244,33492,0.9369596642289052,-0.0974792361467816,0.16458797,0.37278175,0.20441866,0.0037751198
AQWan,DEWP,33620,34516,0.9369557179422708,0.0055531152643358,0.016991138,0.60552263,0.294024,0.2945075
AQWan,CO,33556,34324,0.936818875955243,0.2452526516905732,0.27574635,0.22035313,0.2798524,0.22445917
AQWan,CO,34196,34772,0.9366371145458312,0.1826654709913316,0.7783642,0.18631363,0.31967545,0.2723751
AQWan,TEMP,29716,33364,0.936387277548824,0.2672003762299454,0.57219934,0.74286675,0.7953534,0.5197127
AQWan,TEMP,30228,34068,0.9362394315066084,0.139850083062049,0.017463207,0.044347763,0.08062863,0.10751319
AQWan,PM10,32788,33172,0.9360485586176,-0.1147720095296996,0.20871162,0.91945267,0.33162117,0.7965431
AQWan,PRES,28244,29652,0.9342551113804224,-0.170849099780613,0.7758956,1.4675436,0.030348778,0.6612992
AQWan,NO2,30612,31380,0.9338150322500044,0.126117958839844,0.40889382,0.6612344,0.49387217,0.57625604
AQWan,WSPM,33940,34132,0.933731143341822,0.1388310911359563,0.29147387,0.92482567,0.52502394,0.6912756
AQWan,O3,33428,34388,0.9332883847661662,-0.1221721532286145,0.065466404,0.116880655,0.14224696,0.19366121
AQWan,DEWP,32020,34068,0.9330683541275226,-0.0915735895167151,0.37078047,0.08615732,0.33817863,0.05355549
AQWan,TEMP,28308,34452,0.9330207442292652,0.1360279650646385,0.34794426,0.49744487,0.4585004,0.38688874
AQWan,CO,30676,34452,0.9326851773135292,0.0012551487188641,0.48516464,0.36024427,0.25053596,0.59487295
AQWan,DEWP,28372,31828,0.9322486678659504,-0.0397137995059007,0.3835106,0.22512865,0.84198236,0.23334312
AQWan,PRES,31764,33236,0.9321157683395302,-0.0192969566262931,0.04302311,0.17772913,0.51586294,0.38115692
AQWan,PM2.5,30228,32020,0.9318313201506498,0.1258194028764211,0.74319696,0.35801935,0.48624516,0.61497116
AQWan,CO,31700,34388,0.9308393354981436,0.0387497318164313,0.60670185,1.8645468,1.1966252,1.2746234
AQWan,SO2,33172,33492,0.9307086827693644,-0.3187334557532615,0.2536943,0.010140896,0.32129216,0.05745697
AQWan,DEWP,29780,33364,0.9285108914947778,-0.3112007279538165,1.0650997,0.44461012,1.137414,0.5169244
AQWan,O3,31956,32532,0.9278701880750476,0.265205143139551,0.26867962,0.01866889,0.18620491,0.06380582
AQWan,TEMP,29780,32276,0.9278517940996892,0.2060357045116535,0.0061883926,0.11063886,0.0033504963,0.11347675
AQWan,TEMP,33556,34132,0.9272299471759812,0.2509105932072992,0.059407473,0.16560912,0.14447546,0.080541134
AQWan,PM2.5,29716,31700,0.9269785736404548,-0.0651178868011091,0.2732849,0.05226946,0.55216837,0.226614
AQWan,PRES,33748,33876,0.9267400695284508,-0.1329023383677542,0.543252,0.4344306,0.3449278,0.2361064
AQWan,SO2,29140,30868,0.9250672600037696,-0.0080564228134728,1.24687,0.6580448,1.5625474,0.3423674
AQWan,DEWP,31636,32340,0.924149217037484,0.0306232104951861,0.09231758,1.433331,0.009464264,1.3315492
AQWan,NO2,32340,32724,0.921724029083592,0.2011373846067355,0.022033215,0.012682915,0.12826824,0.11891794
AQWan,PM2.5,33620,34708,0.9216520980811892,-0.1313529050111103,0.3140111,0.34726715,0.2629366,0.39834166
AQWan,DEWP,29524,33556,0.920795975175134,0.1252611473093199,0.3322916,0.18880606,0.29493046,0.15144491
AQWan,DEWP,31316,31572,0.9206912128689512,-0.0343787353129181,0.9046259,0.21437359,0.92508364,0.23483133
AQWan,PM2.5,29460,29652,0.9205456582751198,0.2683401210491989,0.16501665,0.05858612,0.36400223,0.14039946
AQWan,PRES,29460,33044,0.9201705879473286,0.0896522572150025,0.60769176,0.3999834,1.2971587,0.28948355
AQWan,O3,31828,32212,0.9198188112339584,0.1034023799946098,0.45004463,0.7171645,0.5928464,0.57436275
AQWan,PM10,29140,33108,0.9191677857845324,-0.1206217797569458,1.3144689,0.24282217,1.1271968,0.0555501
AQWan,PM2.5,28180,34388,0.9176929803825624,0.1639603786311486,0.890028,0.19964266,0.64231825,0.4473524
AQWan,TEMP,28692,32916,0.9173670004877524,0.2379497720971227,0.4168365,0.27046323,0.3207054,0.3665943
