dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
PEMS08,57,15565,17293,0.999566597688139,0.2813413244674792,0.1281867,1.0624471,0.52216005,0.41210032
PEMS08,52,15565,17293,0.9994222300517872,0.1489633297419849,0.17984438,1.085145,0.5777421,0.6872473
PEMS08,54,15181,17485,0.9993910331293022,0.2040988796629941,0.3663063,0.5578656,0.37200356,0.56356287
PEMS08,2,14989,15565,0.9993415970114206,0.2866267038886076,0.6290412,0.22874165,0.7132964,0.14448643
PEMS08,166,15565,16141,0.9992984719168976,0.2802177474510778,0.09211397,0.19824934,0.20514011,0.0852232
PEMS08,126,14925,16077,0.9991826346362376,0.2440249408796831,1.0580816,0.26134205,1.0989981,0.3022585
PEMS08,125,14925,16077,0.9991826346362376,0.2440249408796831,1.0553608,0.2661128,1.0683765,0.27912855
PEMS08,121,14925,16077,0.9991826346362376,0.2440249408796831,1.0486655,0.25257444,1.0702481,0.27415705
PEMS08,48,14925,16077,0.9991826346362376,0.2440249408796831,1.0486655,0.25257444,1.0702481,0.27415705
PEMS08,80,14925,16077,0.9991826346362376,0.2440249408796831,1.0486655,0.25257444,1.0702481,0.27415705
PEMS08,123,14925,16077,0.9991826346362376,0.2440249408796831,1.0486655,0.25257444,1.0702481,0.27415705
PEMS08,122,14925,16077,0.9991826346362376,0.2440249408796831,1.0486655,0.25257444,1.0702481,0.27415705
PEMS08,141,14925,16077,0.9991826346362376,0.2440249408796831,1.0486655,0.25257444,1.0702481,0.27415705
PEMS08,61,14925,16077,0.9991826346362376,0.2440249408796831,1.0486655,0.25257444,1.0702481,0.27415705
PEMS08,142,14925,16077,0.9991826346362376,0.2440249408796831,1.0486655,0.25257444,1.0702481,0.27415705
PEMS08,64,14925,16077,0.9991826346362376,0.2440249408796831,0.8139553,0.07711935,0.8614931,0.029581547
PEMS08,124,14925,16077,0.9991710841844532,0.2448045758651475,1.0449057,0.24542952,1.07091,0.27143383
PEMS08,153,14925,16077,0.9991506892509644,0.2717636739617515,1.0467267,0.2434516,1.0644679,0.2611928
PEMS08,60,14925,16077,0.9991433249537516,0.2470734728032629,1.0012336,0.25836372,1.0267587,0.28388882
PEMS08,83,14925,16077,0.9991433249537516,0.2470734728032629,0.97118425,0.24791193,1.0092726,0.28600025
PEMS08,159,14925,16077,0.9991433249537516,0.2470734728032629,0.97118425,0.24791193,1.0092726,0.28600025
PEMS08,70,14925,16077,0.9991433249537516,0.2470734728032629,0.97118425,0.24791193,1.0092726,0.28600025
PEMS08,81,14925,16077,0.9991433249537516,0.2470734728032629,0.97118425,0.24791193,1.0092726,0.28600025
PEMS08,84,14925,16077,0.9991433249537516,0.2470734728032629,0.97118425,0.24791193,1.0092726,0.28600025
PEMS08,55,14925,16077,0.9991433249537516,0.2470734728032629,0.97118425,0.24791193,1.0092726,0.28600025
PEMS08,73,14925,16077,0.9991433249537516,0.2470734728032629,0.97118425,0.24791193,1.0092726,0.28600025
PEMS08,62,14925,16077,0.9991226004226754,0.2657967347478787,0.9803915,0.23809385,1.0456166,0.30331898
PEMS08,109,14925,16077,0.9991226004226754,0.2657967347478787,0.9803915,0.23809385,1.0456166,0.30331898
PEMS08,149,14925,16077,0.9991226004226754,0.2657967347478787,0.9803915,0.23809433,1.0456171,0.30331993
PEMS08,154,14925,16077,0.9991226004226754,0.2657967347478787,1.0839176,0.3790269,1.0133495,0.3084588
PEMS08,50,14925,16077,0.9990964641995294,0.298051242199367,1.0096178,0.26150942,1.03121,0.28310156
PEMS08,116,14925,16077,0.9990964641995294,0.298051242199367,1.0426269,0.27167892,1.0435214,0.27257347
PEMS08,91,14925,16077,0.9990964641995294,0.298051242199367,1.0096178,0.26150942,1.03121,0.28310156
PEMS08,90,14925,16077,0.9990964641995294,0.298051242199367,1.0096178,0.26150942,1.03121,0.28310156
PEMS08,89,14925,16077,0.9990964641995294,0.298051242199367,1.2363443,0.11880493,1.3272467,0.20970726
PEMS08,144,14925,16077,0.9990964641995294,0.298051242199367,1.0600042,0.3054061,1.0560031,0.30140495
PEMS08,75,14925,16077,0.9990964641995294,0.298051242199367,1.0096178,0.26150942,1.03121,0.28310156
PEMS08,131,14925,16077,0.9990964641995294,0.298051242199367,1.0096178,0.26150942,1.03121,0.28310156
PEMS08,145,14925,16077,0.9990964641995294,0.298051242199367,1.0235748,0.26407623,1.0464811,0.28698254
PEMS08,85,14925,16077,0.9990964641995294,0.298051242199367,0.79774666,0.79764605,0.88790655,0.88780594
PEMS08,115,14925,16077,0.9990964641995294,0.298051242199367,1.0096178,0.26150942,1.03121,0.28310156
PEMS08,74,14925,16077,0.9990964641995294,0.298051242199367,1.0096178,0.26150942,1.03121,0.28310156
PEMS08,51,14925,16077,0.9990964641995294,0.298051242199367,1.0096178,0.26150942,1.03121,0.28310156
PEMS08,63,14989,15565,0.9990593411094484,0.1769712448440994,1.6925025,0.67181206,1.8312912,0.53302336
PEMS08,56,14989,15565,0.9990231613993116,0.1761406429258702,0.4202404,0.18742085,0.6763563,0.06869507
PEMS08,45,14925,16077,0.9990024864070368,0.2426089160181782,0.4863763,0.33097506,0.55368996,0.26366138
PEMS08,20,15565,17293,0.9989842797901508,0.1298339412992586,0.3934188,0.88418436,0.61869955,0.6589036
PEMS08,9,15885,17613,0.998882224818729,0.1923120544662939,0.09662771,0.011958599,0.03128147,0.053387642
PEMS08,71,15565,16141,0.9988085538197142,0.1623539359837527,0.12103462,0.18296099,0.2337141,0.070281506
PEMS08,143,14989,17293,0.9987749771317712,-0.1973073671461267,0.2747712,0.35660124,0.11144543,0.519927
PEMS08,25,15885,17613,0.9987718316591774,0.007878590859796,0.26525402,0.27421427,0.24332952,0.29613876
PEMS08,99,16141,17293,0.9987463870013906,0.1605753537725036,0.21565104,1.1377225,0.31073093,0.6113405
PEMS08,54,15501,16077,0.9987379750802028,0.2031266230745203,0.021449566,0.018755913,0.062229156,0.022023678
PEMS08,54,15821,16973,0.9987351045247288,0.2096533016037962,0.02950716,0.45092678,0.073449135,0.4069848
PEMS08,34,16141,17293,0.9986752790890496,-0.053245920342999,0.2005105,0.32697868,0.2966895,0.23079967
PEMS08,166,14989,17293,0.9986480786199924,0.2222324481885279,0.8044672,0.17199516,0.46704006,0.16543198
PEMS08,3,14989,15565,0.9986304618500792,-0.0193775177665877,0.61724186,0.42313528,0.56907797,0.47129917
PEMS08,0,14989,17293,0.9986216658519724,0.094891933621626,0.48147345,0.5245848,0.27338362,0.31649494
PEMS08,86,16141,17293,0.9985472291185178,0.2005892378860178,0.18553925,0.84671354,0.6087084,0.4235444
PEMS08,32,14989,16141,0.9984346909295828,0.0441004821792247,0.4741454,0.5353236,0.6539445,0.35552454
PEMS08,109,14669,16397,0.9984318352923314,0.1302736761517991,0.22607327,0.07432032,0.4322753,0.13188171
PEMS08,154,14669,16397,0.9984318352923314,0.1302736761517991,0.14326477,0.009589672,0.37516356,0.22230911
PEMS08,62,14669,16397,0.9984318352923314,0.1302736761517991,0.22607327,0.07432032,0.4322753,0.13188171
PEMS08,149,14669,16397,0.9984318352923314,0.1302736761517991,0.22607136,0.07432127,0.43227386,0.13188124
PEMS08,145,14669,16397,0.9984237465473156,0.1311966902826662,0.22409487,0.0548563,0.41569138,0.13674021
PEMS08,144,14669,16397,0.9984237465473156,0.1311966902826662,0.21206427,0.06009817,0.43443012,0.16226768
PEMS08,75,14669,16397,0.9984237465473156,0.1311966902826662,0.23921776,0.062506676,0.43322897,0.13150454
PEMS08,115,14669,16397,0.9984237465473156,0.1311966902826662,0.23921776,0.062506676,0.43322897,0.13150454
PEMS08,85,14669,16397,0.9984237465473156,0.1311966902826662,0.18388557,0.3354926,0.30419397,0.21518421
PEMS08,51,14669,16397,0.9984237465473156,0.1311966902826662,0.23921776,0.062506676,0.43322897,0.13150454
PEMS08,90,14669,16397,0.9984237465473156,0.1311966902826662,0.23921776,0.062506676,0.43322897,0.13150454
