rho2,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
0,ETTh1,main (swap dynamic),34,0.46635658,0.30755526,0.6176470588235294,0.08424431679304689
0,ETTh1,control (swap invariant),34,0.39802152,0.31459513,0.5588235294117647,0.3092015009606257
0,ETTm1,main (swap dynamic),496,0.3792667,0.45463255,0.4173387096774194,0.00015981656271455954
0,ETTm1,control (swap invariant),496,0.39773524,0.42889318,0.4939516129032258,0.1130334805783919
0,electricity,main (swap dynamic),1322,0.40075606,0.36055622,0.540090771558245,8.129787154583866e-05
0,electricity,control (swap invariant),1322,0.4128441,0.42541218,0.4962178517397882,0.6297244464035154
0,ETTh2,main (swap dynamic),39,0.43576196,0.48352844,0.38461538461538464,0.27055140661468613
0,ETTh2,control (swap invariant),39,0.47045198,0.47762626,0.5641025641025641,0.9834906762916944
0,ETTm2,main (swap dynamic),365,0.5881162,0.6161609,0.4794520547945205,0.15966892376063624
0,ETTm2,control (swap invariant),365,0.6091541,0.5999124,0.5232876712328767,0.8593281275591564
0,weather,main (swap dynamic),1236,0.67125785,0.68544364,0.4830097087378641,0.39055417187882013
0,weather,control (swap invariant),1236,0.6957251,0.67048657,0.4878640776699029,0.8600491477748122
0,exchange_rate,main (swap dynamic),42,0.67633396,0.7689448,0.40476190476190477,0.39905179274546754
0,exchange_rate,control (swap invariant),42,0.7692887,0.81679934,0.38095238095238093,0.5521575472325821
0,traffic,main (swap dynamic),7698,0.47239485,0.57429904,0.4324499870096129,2.131695429209463e-57
0,traffic,control (swap invariant),7698,0.4836895,0.546222,0.4799948038451546,7.039908693957311e-13
0,solar,main (swap dynamic),6841,0.6775131,0.88050735,0.43838620084782925,2.087564719471405e-34
0,solar,control (swap invariant),6841,0.71463376,0.8087491,0.4652828533840082,3.3645565216920443e-09
0,PEMS08,main (swap dynamic),3614,0.4390918,0.4808783,0.4485334809075816,9.241797416109083e-06
0,PEMS08,control (swap invariant),3614,0.4316981,0.45792875,0.4933591588267847,0.2463304156202738
0,AQWan,main (swap dynamic),296,0.5251459,0.4481995,0.5844594594594594,0.007168308438811647
0,AQWan,control (swap invariant),296,0.48283726,0.4802025,0.4864864864864865,0.4575029143720416
0,Wind,main (swap dynamic),408,0.58413625,0.5414944,0.5343137254901961,0.10362964487019129
0,Wind,control (swap invariant),408,0.5993782,0.507,0.5637254901960784,0.0027080018096265054
0,ZafNoo,main (swap dynamic),81,0.50467163,0.5844907,0.49382716049382713,0.5704773248149031
0,ZafNoo,control (swap invariant),81,0.47065386,0.639563,0.38271604938271603,0.003987892474315063
0,CzeLan,main (swap dynamic),242,0.4722703,0.48002154,0.47107438016528924,0.7905732024182602
0,CzeLan,control (swap invariant),242,0.50785834,0.4481347,0.5,0.3053095707884681
0,Combined,main (swap dynamic),22714,0.5384648,0.63993025,0.4508232807959849,5.043070203806495e-68
0,Combined,control (swap invariant),22714,0.55518204,0.60703164,0.48159725279563265,1.667104717302655e-16
0.001,ETTh1,main (swap dynamic),34,0.47495753,0.31908372,0.6764705882352942,0.02732317999470979
0.001,ETTh1,control (swap invariant),34,0.42085242,0.31169102,0.5882352941176471,0.0874475616728887
0.001,ETTm1,main (swap dynamic),496,0.3788484,0.46321827,0.4274193548387097,0.0002641140122058448
0.001,ETTm1,control (swap invariant),496,0.41126657,0.43382996,0.4899193548387097,0.24792016423490992
0.001,electricity,main (swap dynamic),1322,0.39622852,0.36207777,0.540090771558245,0.0005184630158190457
0.001,electricity,control (swap invariant),1322,0.41624713,0.42276877,0.4977307110438729,0.9856334088004062
0.001,ETTh2,main (swap dynamic),39,0.413425,0.4908155,0.38461538461538464,0.07980852480613976
0.001,ETTh2,control (swap invariant),39,0.46221215,0.46533674,0.5384615384615384,0.8957254780943913
0.001,ETTm2,main (swap dynamic),365,0.5916864,0.6143186,0.4821917808219178,0.3037490949313085
0.001,ETTm2,control (swap invariant),365,0.60166514,0.6009669,0.5178082191780822,0.6188492233027518
0.001,weather,main (swap dynamic),1236,0.6822021,0.68357146,0.4959546925566343,0.6930133114543633
0.001,weather,control (swap invariant),1236,0.6857512,0.67741776,0.48624595469255666,0.7498457503098025
0.001,exchange_rate,main (swap dynamic),42,0.69895697,0.85626847,0.38095238095238093,0.2477147658478316
0.001,exchange_rate,control (swap invariant),42,0.6968909,0.875881,0.40476190476190477,0.18703595655506433
0.001,traffic,main (swap dynamic),7698,0.4670173,0.5803265,0.4201091192517537,1.1682372896304768e-71
0.001,traffic,control (swap invariant),7698,0.48848435,0.5409407,0.49012730579371266,2.938270697720579e-07
0.001,solar,main (swap dynamic),6841,0.6492825,0.8379981,0.4388247332261365,7.684394452015456e-33
0.001,solar,control (swap invariant),6841,0.6907592,0.79060346,0.47200701651805294,1.4190172531024357e-09
0.001,PEMS08,main (swap dynamic),3614,0.450983,0.48412362,0.49031543995572774,0.1159579918958139
0.001,PEMS08,control (swap invariant),3614,0.43971428,0.46740142,0.5024903154399557,0.507546026803223
0.001,AQWan,main (swap dynamic),296,0.50869954,0.45427698,0.597972972972973,0.017271322960719045
0.001,AQWan,control (swap invariant),296,0.4912158,0.46005827,0.5168918918918919,0.7585666516387812
0.001,Wind,main (swap dynamic),408,0.58414423,0.5320499,0.5441176470588235,0.08011483845488838
0.001,Wind,control (swap invariant),408,0.5816623,0.5062801,0.553921568627451,0.015180551343446652
0.001,ZafNoo,main (swap dynamic),81,0.49443087,0.5758233,0.5061728395061729,0.7757579906496822
0.001,ZafNoo,control (swap invariant),81,0.47936085,0.6446648,0.3950617283950617,0.025789018330936206
0.001,CzeLan,main (swap dynamic),242,0.4795568,0.47448114,0.5,0.8894697956718701
0.001,CzeLan,control (swap invariant),242,0.49128553,0.4646156,0.512396694214876,0.4108582516345991
0.001,Combined,main (swap dynamic),22714,0.5302553,0.6298418,0.4551378004754777,2.6541507547606722e-65
0.001,Combined,control (swap invariant),22714,0.550254,0.601634,0.48877344369111564,2.989604052485631e-12
0.01,ETTh1,main (swap dynamic),34,0.48846593,0.32472026,0.7058823529411765,0.015309422393329442
0.01,ETTh1,control (swap invariant),34,0.42457175,0.3204349,0.6176470588235294,0.09763269789982587
0.01,ETTm1,main (swap dynamic),496,0.38204283,0.47616956,0.40524193548387094,2.6304072344834216e-06
0.01,ETTm1,control (swap invariant),496,0.42335725,0.43863857,0.4939516129032258,0.5062068707886767
0.01,electricity,main (swap dynamic),1322,0.40061527,0.36277634,0.5370650529500757,0.00020671435877679605
0.01,electricity,control (swap invariant),1322,0.41487157,0.42406404,0.49924357034795763,0.7461449561623146
0.01,ETTh2,main (swap dynamic),39,0.41618997,0.5156711,0.358974358974359,0.04750477915149531
0.01,ETTh2,control (swap invariant),39,0.48807234,0.46326262,0.6153846153846154,0.30211415864687297
0.01,ETTm2,main (swap dynamic),365,0.59688735,0.6567459,0.4657534246575342,0.04157320013342954
0.01,ETTm2,control (swap invariant),365,0.64494514,0.61032844,0.5342465753424658,0.5168627172250535
0.01,weather,main (swap dynamic),1236,0.7279287,0.7310082,0.48462783171521034,0.5391736212825133
